Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Subsistence_Sector_GDP_USD_M,Subsistence_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency,Source_File
LLD,5801,0,0,0%,6,6,6,0,0,1,2,0,3,3,3,0,0,0,14,7,0,0,0,0,12,600,0,0,0,0,50%,734,1,0%,473,64%,126,0%,0%,generate_country_csv_report_1724-01-01-12.csv
MLB,67,0,0,0%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,670,50%,5,0,13%,5,89%,85,0%,0%,generate_country_csv_report_1724-01-01-12.csv
MTR,1567,0,0,0%,5,8,5,0,0,1,3,1,5,5,5,0,0,0,0,0,0,0,0,0,-6,-300,0,0,0,0,50%,359,0,-0%,148,41%,229,0%,0%,generate_country_csv_report_1724-01-01-12.csv
NLL,227,0,0,0%,2,16,2,0,0,1,0,0,1,1,1,0,0,0,3,1,0,0,0,0,1,50,0,0,6,4020,50%,21,4,22%,16,78%,93,0%,0%,generate_country_csv_report_1724-01-01-12.csv
OAK,57847,0,0,2%,39,39,39,0,0,27,154,26,207,163,163,0,118,47200,153,76,0,0,189,28,1255,62750,344,860,274,183580,75%,50828,13727,27%,2274,4%,900,0%,0%,generate_country_csv_report_1724-01-01-12.csv
PLK,324,0,0,1%,2,4,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,4,0,0,0,5,12,0,0,50%,34,2,6%,31,91%,105,0%,0%,generate_country_csv_report_1724-01-01-12.csv
SHT,595,0,0,0%,4,7,4,0,0,2,3,0,5,5,5,0,6,3300,0,0,0,0,0,0,-6,-300,0,0,0,0,50%,53,4,8%,44,84%,88,0%,0%,generate_country_csv_report_1724-01-01-12.csv
TAM,12994,0,0,3%,24,24,24,0,0,3,19,0,22,22,22,0,0,0,0,0,0,0,74,11,-19,-950,0,0,0,0,50%,1778,43,2%,313,17%,136,0%,0%,generate_country_csv_report_1724-01-01-12.csv
TPD,510,0,0,0%,3,3,3,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,9,1,0,0,16,40,4,2680,50%,61,9,14%,50,81%,120,0%,0%,generate_country_csv_report_1724-01-01-12.csv
TPP,12955,0,0,3%,28,28,28,0,0,4,3,0,7,7,7,0,0,0,42,21,0,0,0,0,15,750,-4,-10,0,0,50%,1645,3,0%,1145,69%,126,0%,0%,generate_country_csv_report_1724-01-01-12.csv
TRH,6319,0,0,2%,4,11,4,0,0,3,8,0,11,11,11,0,6,3300,0,0,0,0,16,2,18,900,24,60,0,0,0%,1392,29,2%,408,29%,220,0%,0%,generate_country_csv_report_1724-01-01-12.csv
TRI,2564,0,0,0%,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,42,105,0,0,50%,295,17,5%,281,95%,115,0%,0%,generate_country_csv_report_1724-01-01-12.csv
UEK,12554,0,0,2%,19,21,19,0,0,4,6,3,13,13,13,0,0,0,0,0,0,0,14,2,-4,-200,34,85,20,13400,25%,2657,49,1%,954,35%,211,0%,0%,generate_country_csv_report_1724-01-01-12.csv
WGK,413,0,0,0%,4,4,4,0,0,1,2,0,3,3,3,0,0,0,0,0,0,0,0,0,-4,-200,47,117,0,0,50%,59,16,27%,41,68%,144,0%,0%,generate_country_csv_report_1724-01-01-12.csv
AAV,100,0,0,0%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,11,0,0%,11,100%,111,0%,0%,generate_country_csv_report_1724-01-01-12.csv
AGC,5252,0,0,0%,6,6,6,0,0,4,4,5,13,13,13,0,0,0,38,19,0,0,0,0,53,2650,0,0,0,0,50%,2693,9,0%,274,10%,512,0%,0%,generate_country_csv_report_1724-01-01-12.csv
AHM,1146,0,0,2%,7,7,7,0,0,5,7,0,12,12,12,0,0,0,0,0,0,0,0,0,-14,-700,0,0,0,0,25%,155,-1,-0%,109,70%,135,0%,0%,generate_country_csv_report_1724-01-01-12.csv
ARN,3734,0,0,0%,8,14,8,0,0,4,4,1,9,9,9,0,0,0,0,0,0,0,42,6,5,250,0,0,12,8040,50%,1069,26,2%,257,24%,286,0%,0%,generate_country_csv_report_1724-01-01-12.csv
ATL,6150,0,0,0%,4,4,4,0,0,2,5,3,10,10,10,0,71,39050,0,0,96,192,0,0,-10,-500,0,0,0,0,50%,2601,126,4%,180,6%,423,0%,0%,generate_country_csv_report_1724-01-01-12.csv
AUC,4530,0,0,0%,15,15,15,0,0,3,11,5,19,16,16,0,13,7150,13,6,0,0,0,0,53,2650,0,0,0,0,50%,2506,30,1%,377,15%,553,0%,0%,generate_country_csv_report_1724-01-01-12.csv
AUF,1284,0,0,0%,5,5,5,0,0,0,2,1,3,6,6,0,0,0,23,11,0,0,0,0,-6,-300,0,0,47,31490,50%,345,46,13%,124,35%,269,0%,0%,generate_country_csv_report_1724-01-01-12.csv
BTR,16977,0,0,3%,25,25,25,0,0,4,9,3,16,16,16,0,21,11550,0,0,0,0,32,4,21,1050,0,0,47,31490,50%,3155,127,4%,1534,48%,185,0%,0%,generate_country_csv_report_1724-01-01-12.csv
CPF,325,0,0,3%,1,4,1,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,7,350,0,0,0,0,0%,38,0,1%,36,94%,117,0%,0%,generate_country_csv_report_1724-01-01-12.csv
CUL,140,0,0,3%,1,3,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,4,0,0%,4,99%,30,0%,0%,generate_country_csv_report_1724-01-01-12.csv
ETV,334,0,0,0%,1,1,1,0,0,0,0,0,0,0,0,0,26,14300,0,0,0,0,0,0,0,0,0,0,0,0,50%,51,16,31%,37,72%,153,0%,0%,generate_country_csv_report_1724-01-01-12.csv
FLU,281,0,0,3%,2,2,2,0,0,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,-2,-100,0,0,0,0,50%,20,0,-0%,20,96%,74,0%,0%,generate_country_csv_report_1724-01-01-12.csv
FRO,480,0,0,3%,3,3,3,0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,-4,-200,0,0,0,0,50%,52,0,-0%,47,91%,109,0%,0%,generate_country_csv_report_1724-01-01-12.csv
JIN,568,0,0,2%,1,1,1,0,0,1,2,0,3,3,3,0,0,0,0,0,0,0,4,0,3,150,0,0,0,0,25%,81,1,1%,66,80%,143,0%,0%,generate_country_csv_report_1724-01-01-12.csv
KHM,6380,0,0,3%,13,13,13,0,0,5,10,0,15,15,15,0,0,0,0,0,0,0,0,0,15,750,0,0,82,54940,50%,1600,152,9%,544,34%,250,0%,0%,generate_country_csv_report_1724-01-01-12.csv
KKV,500,0,0,0%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,55,0,0%,55,100%,111,0%,0%,generate_country_csv_report_1724-01-01-12.csv
KSA,4103,0,0,3%,8,10,8,0,0,3,4,4,11,11,11,0,4,2200,8,4,27,54,0,0,17,850,0,0,0,0,50%,1919,7,0%,406,21%,467,0%,0%,generate_country_csv_report_1724-01-01-12.csv
LNV,334,0,0,0%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,37,0,0%,37,100%,111,0%,0%,generate_country_csv_report_1724-01-01-12.csv
LOC,100,0,0,2%,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,10,0,0%,10,98%,107,0%,0%,generate_country_csv_report_1724-01-01-12.csv
MES,806,0,0,2%,1,1,1,0,0,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,-2,-100,0,0,30,20100,50%,137,25,18%,89,65%,169,0%,0%,generate_country_csv_report_1724-01-01-12.csv
MJU,32649,0,0,2%,21,22,21,0,0,12,22,7,41,41,41,0,9,6300,41,20,20,40,43,6,59,2950,0,0,68,45560,10%,6981,301,4%,1802,25%,213,0%,0%,generate_country_csv_report_1724-01-01-12.csv
MNG,2816,0,0,3%,7,7,7,0,0,2,2,1,5,5,5,0,6,3300,0,0,0,0,0,0,20,1000,0,0,0,0,50%,487,6,1%,196,40%,172,0%,0%,generate_country_csv_report_1724-01-01-12.csv
MRV,150,0,0,0%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,16,0,0%,16,100%,111,0%,0%,generate_country_csv_report_1724-01-01-12.csv
OOD,7110,0,0,3%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,0,0,0,0,0,0,0,0,50%,540,0,0%,540,99%,75,0%,0%,generate_country_csv_report_1724-01-01-12.csv
PER,241,0,0,2%,1,1,1,0,0,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,3,150,0,0,0,0,25%,28,0,0%,26,94%,117,0%,0%,generate_country_csv_report_1724-01-01-12.csv
QDT,2306,0,0,3%,15,16,15,0,0,3,6,4,13,13,13,0,38,20900,6,3,0,0,0,0,56,2800,0,0,0,0,25%,1083,48,4%,160,14%,469,0%,0%,generate_country_csv_report_1724-01-01-12.csv
QUE,3070,0,0,2%,12,12,12,0,0,3,9,4,16,16,16,0,0,0,0,0,0,0,0,0,-18,-900,0,0,0,0,25%,1535,-2,-0%,285,18%,500,0%,0%,generate_country_csv_report_1724-01-01-12.csv
RIV,669,0,0,0%,2,2,2,0,0,0,0,0,0,0,0,0,37,20350,0,0,53,106,0,0,0,0,0,0,0,0,50%,95,24,25%,74,77%,142,0%,0%,generate_country_csv_report_1724-01-01-12.csv
RJV,197,0,0,1%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,21,0,0%,21,100%,111,0%,0%,generate_country_csv_report_1724-01-01-12.csv
RNV,334,0,0,0%,1,1,1,0,0,0,0,0,0,0,0,0,18,9900,0,0,0,0,0,0,0,0,0,0,0,0,50%,46,11,23%,37,79%,139,0%,0%,generate_country_csv_report_1724-01-01-12.csv
SDP,26200,0,0,4%,7,28,7,0,0,9,11,6,26,16,16,0,37,18500,30,15,0,0,0,0,54,2700,0,0,35,23450,75%,4862,160,3%,1265,26%,185,0%,0%,generate_country_csv_report_1724-01-01-12.csv
SKE,701,0,0,3%,2,2,2,0,0,2,2,0,4,4,4,0,0,0,0,0,0,0,0,0,-4,-200,0,0,0,0,50%,98,0,-0%,80,82%,140,0%,0%,generate_country_csv_report_1724-01-01-12.csv
SMP,18886,0,0,4%,5,5,5,0,0,1,5,0,6,10,10,0,0,0,0,0,0,0,83,12,7,350,0,0,31,20770,75%,2470,85,3%,1302,52%,130,0%,0%,generate_country_csv_report_1724-01-01-12.csv
SPC,6365,0,0,2%,7,11,7,0,0,3,6,4,13,13,13,0,18,15300,10,5,0,0,0,0,29,1450,11,27,0,0,50%,2421,43,1%,422,17%,380,0%,0%,generate_country_csv_report_1724-01-01-12.csv
SPP,26891,0,0,4%,7,17,7,0,0,1,7,4,12,18,18,0,34,17000,0,0,0,0,0,0,40,2000,0,0,0,0,75%,4328,79,1%,710,16%,160,0%,0%,generate_country_csv_report_1724-01-01-12.csv
SRV,334,0,0,0%,1,1,1,0,0,1,3,2,6,6,6,0,22,12100,0,0,0,0,0,0,-6,-300,0,0,0,0,50%,101,18,18%,16,16%,303,0%,0%,generate_country_csv_report_1724-01-01-12.csv
TNV,250,0,0,0%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,27,0,0%,27,100%,111,0%,0%,generate_country_csv_report_1724-01-01-12.csv
UMB,1809,0,0,3%,4,4,4,0,0,2,4,1,7,5,5,0,0,0,0,0,0,0,0,0,9,450,0,0,0,0,50%,449,0,0%,174,38%,248,0%,0%,generate_country_csv_report_1724-01-01-12.csv
USV,100,0,0,0%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,7,0,0%,7,100%,75,0%,0%,generate_country_csv_report_1724-01-01-12.csv
WEA,201,0,0,3%,1,1,1,0,0,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,-2,-100,0,0,0,0,50%,23,0,-0%,22,94%,118,0%,0%,generate_country_csv_report_1724-01-01-12.csv
HHE,73899,0,0,2%,20,20,20,0,0,13,21,5,39,45,45,0,7,3850,24,12,0,0,52,7,109,5450,74,185,16,10720,50%,10509,392,3%,3323,31%,142,0%,0%,generate_country_csv_report_1724-01-01-12.csv
HBB,8033,0,0,-1%,7,7,7,0,0,3,3,1,7,8,8,0,2,1100,0,0,0,0,0,0,8,400,0,0,5,3350,75%,1449,7,0%,821,56%,180,0%,0%,generate_country_csv_report_1724-01-01-12.csv
HCR,3153,0,0,2%,12,12,12,0,0,2,3,1,6,7,7,0,1,550,0,0,0,0,0,0,34,1700,-2,-5,0,0,50%,792,2,0%,233,29%,251,0%,0%,generate_country_csv_report_1724-01-01-12.csv
HER,4359,0,0,2%,14,14,14,0,0,3,2,0,5,6,6,0,0,0,9,4,0,0,11,1,15,750,5,12,0,0,50%,612,5,0%,445,72%,140,0%,0%,generate_country_csv_report_1724-01-01-12.csv
HET,2231,0,0,2%,4,1,4,0,0,4,1,0,5,8,8,0,0,0,0,0,0,0,0,0,22,1100,0,0,4,2680,50%,366,5,1%,221,60%,229,0%,0%,generate_country_csv_report_1724-01-01-12.csv
HLF,18562,0,0,2%,11,11,11,0,0,8,9,2,19,22,22,0,27,14850,29,14,0,0,0,0,62,3100,0,0,16,10720,50%,3889,98,2%,1133,29%,209,0%,0%,generate_country_csv_report_1724-01-01-12.csv
HNO,5868,0,0,2%,4,4,4,0,0,11,22,0,33,8,8,0,3,1650,0,0,0,0,0,0,27,1350,0,0,9,6030,50%,1103,40,3%,584,52%,188,0%,0%,generate_country_csv_report_1724-01-01-12.csv
HPP,12222,0,0,2%,17,17,17,0,0,4,5,6,15,20,20,0,40,22000,0,0,29,58,0,0,17,850,0,0,0,0,50%,3384,46,1%,986,29%,281,0%,0%,generate_country_csv_report_1724-01-01-12.csv
HRF,4424,0,0,2%,8,8,8,0,0,2,4,1,7,8,8,0,0,0,0,0,0,0,24,3,6,300,19,47,40,26800,50%,1039,60,5%,408,39%,234,0%,0%,generate_country_csv_report_1724-01-01-12.csv
HSP,15483,0,0,2%,16,21,16,0,0,5,6,6,17,20,20,0,7,3850,0,0,0,0,16,2,23,1150,11,27,0,0,50%,3696,20,0%,1305,35%,238,0%,0%,generate_country_csv_report_1724-01-01-12.csv
HST,47268,0,0,2%,21,26,21,0,0,7,12,4,23,29,29,0,6,3300,0,0,0,0,40,6,52,2600,34,85,24,16080,50%,6984,154,2%,3388,48%,158,0%,0%,generate_country_csv_report_1724-01-01-12.csv
HTP,22262,0,0,4%,12,12,12,0,0,5,8,7,20,23,23,0,29,15950,9,4,17,34,0,0,45,2250,0,0,14,9380,50%,5094,82,1%,1180,23%,228,0%,0%,generate_country_csv_report_1724-01-01-12.csv
HUM,4690,0,0,2%,11,7,11,0,0,3,3,0,6,7,7,0,4,2200,0,0,0,0,0,0,-8,-400,32,80,26,17420,50%,847,43,5%,439,51%,191,0%,0%,generate_country_csv_report_1724-01-01-12.csv
HUP,4719,0,0,3%,6,19,6,0,0,1,1,2,4,4,4,0,0,0,0,0,0,0,0,0,16,800,0,0,0,0,50%,1094,1,0%,429,39%,242,0%,0%,generate_country_csv_report_1724-01-01-12.csv
HWA,2826,0,0,2%,7,15,7,0,0,2,3,0,5,6,6,0,1,550,0,0,0,0,0,0,8,400,0,0,0,0,50%,486,1,0%,291,59%,172,0%,0%,generate_country_csv_report_1724-01-01-12.csv
AVE,124,0,0,0%,2,7,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,17,850,0,0,10,6700,50%,16,8,50%,9,56%,136,0%,0%,generate_country_csv_report_1724-01-01-12.csv
ANA,562,0,0,0%,2,2,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,50,0,0%,49,96%,90,0%,0%,generate_country_csv_report_1724-01-01-12.csv
BIU,169,0,0,0%,2,7,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,25,1250,0,0,15,10050,50%,29,12,42%,18,61%,175,0%,0%,generate_country_csv_report_1724-01-01-12.csv
CPV,7889,0,0,3%,6,6,6,0,0,3,4,0,7,7,7,0,0,0,0,0,0,0,10,1,17,850,30,75,12,8040,0%,1278,30,2%,764,59%,162,0%,0%,generate_country_csv_report_1724-01-01-12.csv
DOC,2608,0,0,2%,4,9,4,0,0,1,2,0,3,3,3,0,0,0,0,0,0,0,16,2,17,850,27,67,0,0,0%,461,14,3%,300,65%,176,0%,0%,generate_country_csv_report_1724-01-01-12.csv
DMP,1702,0,0,3%,7,9,7,0,0,2,1,0,3,3,3,0,0,0,0,0,0,0,0,0,11,550,0,0,0,0,50%,199,0,0%,181,90%,116,0%,0%,generate_country_csv_report_1724-01-01-12.csv
ERP,642,0,0,2%,2,2,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,-2,-100,0,0,0,0,50%,73,0,-0%,65,88%,114,0%,0%,generate_country_csv_report_1724-01-01-12.csv
FIK,1571,0,0,2%,3,3,3,0,0,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,5,250,0,0,0,0,50%,224,0,0%,173,77%,142,0%,0%,generate_country_csv_report_1724-01-01-12.csv
GSD,5043,0,0,2%,4,4,4,0,0,3,3,0,6,6,6,0,0,0,0,0,0,0,12,1,29,1450,23,57,0,0,25%,1017,17,1%,126,12%,201,0%,0%,generate_country_csv_report_1724-01-01-12.csv
HPV,275,0,0,4%,1,5,1,0,0,1,0,0,1,1,1,0,16,8800,0,0,0,0,0,0,0,0,0,0,0,0,0%,29,9,34%,20,71%,105,0%,0%,generate_country_csv_report_1724-01-01-12.csv
IHS,2026,0,0,4%,3,3,3,0,0,2,0,0,2,2,2,0,8,4400,0,0,0,0,0,0,7,350,0,0,0,0,50%,227,5,2%,196,86%,112,0%,0%,generate_country_csv_report_1724-01-01-12.csv
KGK,4837,0,0,0%,7,13,7,0,0,2,4,0,6,6,6,0,0,0,0,0,0,0,0,0,2,100,0,0,0,0,50%,821,0,0%,461,56%,169,0%,0%,generate_country_csv_report_1724-01-01-12.csv
LEE,2071,0,0,0%,6,8,6,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,-2,-100,0,0,0,0,50%,166,0,-0%,160,96%,80,0%,0%,generate_country_csv_report_1724-01-01-12.csv
LRO,371,0,0,0%,4,5,4,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,-2,-100,0,0,0,0,50%,39,0,-0%,35,90%,105,0%,0%,generate_country_csv_report_1724-01-01-12.csv
MRC,33391,0,0,2%,24,21,24,0,0,12,41,15,68,69,69,0,81,68850,99,49,9,18,62,9,137,6850,52,130,103,69010,75%,15813,1916,12%,2248,14%,481,0%,0%,generate_country_csv_report_1724-01-01-12.csv
NMR,1101,0,0,0%,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,50%,112,3,3%,109,97%,101,0%,0%,generate_country_csv_report_1724-01-01-12.csv
NRP,4051,0,0,1%,9,9,9,0,0,1,3,0,4,4,4,0,3,1650,0,0,0,0,0,0,7,350,0,0,0,0,50%,715,3,0%,354,49%,176,0%,0%,generate_country_csv_report_1724-01-01-12.csv
PCS,1602,0,0,0%,3,4,3,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,27,4,-2,-100,0,0,0,0,50%,209,5,2%,172,82%,130,0%,0%,generate_country_csv_report_1724-01-01-12.csv
REP,2071,0,0,1%,6,19,6,0,0,2,2,0,4,4,4,0,0,0,0,0,0,0,10,1,7,350,14,35,0,0,50%,342,7,2%,189,55%,165,0%,0%,generate_country_csv_report_1724-01-01-12.csv
RVV,10067,0,0,2%,10,10,10,0,0,4,4,2,10,10,10,0,11,6050,9,4,0,0,5,0,22,1100,12,30,22,14740,50%,2067,47,2%,931,45%,205,0%,0%,generate_country_csv_report_1724-01-01-12.csv
SEK,5231,0,0,2%,11,11,11,0,0,2,3,2,7,7,7,0,0,0,0,0,0,0,0,0,7,350,0,0,7,4690,50%,1322,8,0%,412,31%,252,0%,0%,generate_country_csv_report_1724-01-01-12.csv
SFG,6862,0,0,7%,12,19,12,0,0,3,11,1,15,15,15,0,5,2750,0,0,0,0,0,0,-1,-50,-4,-10,0,0,50%,1730,4,0%,538,31%,252,0%,0%,generate_country_csv_report_1724-01-01-12.csv
SLA,52,0,0,4%,1,5,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,0,0%,3,99%,76,0%,0%,generate_country_csv_report_1724-01-01-12.csv
SMK,2087,0,0,0%,3,4,3,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,18,45,0,0,50%,246,5,2%,229,93%,118,0%,0%,generate_country_csv_report_1724-01-01-12.csv
SRA,2688,0,0,5%,3,19,3,0,0,5,2,0,7,7,7,0,0,0,0,0,0,0,0,0,7,350,-2,-5,0,0,50%,441,0,-0%,241,54%,164,0%,0%,generate_country_csv_report_1724-01-01-12.csv
SSD,5112,0,0,2%,6,6,6,0,0,3,3,0,6,6,6,0,0,0,0,0,0,0,26,3,58,2900,42,105,12,8040,25%,858,40,4%,328,38%,168,0%,0%,generate_country_csv_report_1724-01-01-12.csv
UFS,12323,0,0,1%,19,28,19,0,0,5,15,3,23,23,23,0,0,0,0,0,0,0,0,0,17,850,-2,-5,0,0,50%,3046,1,0%,572,18%,247,0%,0%,generate_country_csv_report_1724-01-01-12.csv
WIE,441,0,0,0%,3,4,3,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,-2,-100,0,0,0,0,50%,50,0,-0%,45,90%,114,0%,0%,generate_country_csv_report_1724-01-01-12.csv
BAR,68853,0,0,1%,22,22,22,0,0,5,44,5,54,54,54,0,89,35600,0,0,21,42,21,3,-3,-150,234,585,393,263310,50%,15561,3631,23%,5975,38%,226,0%,0%,generate_country_csv_report_1724-01-01-12.csv
FFN,20482,0,0,1%,14,14,14,0,0,5,9,0,14,14,14,0,105,42000,0,0,32,64,0,0,76,3800,0,0,0,0,50%,3148,136,4%,1528,48%,153,0%,0%,generate_country_csv_report_1724-01-01-12.csv
LLA,10071,0,0,2%,7,7,7,1,0,4,6,5,15,15,15,0,79,43450,10,5,0,0,0,0,14,700,-2,-5,0,0,50%,3499,122,3%,362,10%,347,0%,0%,generate_country_csv_report_1724-01-01-12.csv
DRC,30333,0,0,3%,6,6,6,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,115,17,13,650,0,0,0,0,25%,1511,20,1%,1269,83%,49,0%,0%,generate_country_csv_report_1724-01-01-12.csv
DVE,5658,0,0,2%,9,15,9,0,0,4,2,0,6,6,6,0,0,0,0,0,0,0,0,0,9,450,0,0,0,0,25%,794,0,0%,304,38%,140,0%,0%,generate_country_csv_report_1724-01-01-12.csv
DVC,10941,0,0,2%,2,5,2,0,0,2,3,0,5,5,5,0,0,0,0,0,0,0,0,0,29,1450,65,162,0,0,25%,1314,32,2%,669,50%,120,0%,0%,generate_country_csv_report_1724-01-01-12.csv
EPC,18623,0,0,3%,18,18,18,0,0,0,2,3,5,7,7,0,0,0,11,5,19,38,0,0,23,1150,-4,-10,0,0,0%,2142,1,0%,1080,50%,115,0%,0%,generate_country_csv_report_1724-01-01-12.csv
EPY,51805,0,0,3%,38,38,38,1,0,15,22,15,52,51,51,0,16,8800,56,28,286,572,0,0,22,1100,125,312,210,140700,50%,13964,1179,8%,3618,25%,269,0%,0%,generate_country_csv_report_1724-01-01-12.csv
FDL,5808,0,0,3%,4,4,4,0,0,2,2,0,4,4,4,0,0,0,0,0,0,0,20,3,6,300,0,0,4,2680,25%,770,8,1%,447,58%,132,0%,0%,generate_country_csv_report_1724-01-01-12.csv
