Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
TPD,556,556,0,2%,3,3,3,1,0,3,3,0,6,8,8,0,0,0,0,0,0,0,13,1,-8,-560,21,52,6,4020,25%,61,5,9%,42,69%,110,8%,11%
TPP,14305,14305,0,4%,28,28,28,1,1,9,8,0,17,17,15,0,0,0,56,28,0,0,0,0,22,1540,0,0,9,6030,0%,1746,11,0%,902,51%,122,8%,11%
TRH,9114,9114,0,5%,12,29,12,1,0,6,13,0,19,21,21,0,6,6000,0,0,0,0,35,5,52,3640,61,152,4,2680,0%,2212,65,2%,527,23%,242,8%,11%
TRI,2830,2830,0,2%,7,7,7,1,0,3,6,3,12,13,13,0,0,0,0,0,0,0,41,6,-12,-840,53,132,0,0,25%,861,16,1%,235,27%,304,8%,11%
UEK,11361,11361,0,7%,11,21,11,1,0,6,7,3,16,16,16,0,0,0,0,0,0,0,0,0,0,0,1,2,10,6700,25%,2557,9,0%,649,25%,225,8%,11%
WGK,451,451,0,2%,4,4,4,1,0,4,7,2,13,13,13,0,0,0,0,0,0,0,0,0,-14,-980,71,177,0,0,0%,89,13,14%,31,35%,198,8%,11%
AAV,108,108,0,2%,1,1,1,1,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,75%,21,-0,-1%,9,45%,199,8%,11%
AGC,5769,5769,0,2%,6,6,6,1,0,7,11,6,24,24,24,0,0,0,59,29,0,0,0,0,72,5040,0,0,0,0,0%,2470,11,0%,248,10%,428,8%,11%
AHM,1249,1249,0,2%,7,7,7,1,0,10,11,0,21,24,24,0,0,0,0,0,0,0,0,0,-26,-1820,0,0,0,0,0%,147,-1,-0%,85,58%,118,8%,11%
ARN,4104,4104,0,2%,8,14,8,1,0,7,9,2,18,18,18,0,0,0,0,0,0,0,69,10,6,420,0,0,18,12060,0%,1361,26,1%,226,16%,331,8%,11%
ATL,6751,6751,0,2%,4,4,4,1,0,5,11,4,20,20,19,0,93,120900,0,0,125,1250,0,0,-22,-1540,0,0,0,0,0%,2847,317,11%,168,5%,421,8%,11%
AUC,4979,4979,0,2%,15,15,15,1,0,10,22,11,43,35,34,0,18,18000,18,9,0,0,0,0,83,5810,0,0,0,0,0%,2610,48,1%,316,12%,524,8%,11%
AUF,1401,1401,0,2%,5,5,5,1,0,1,12,3,16,17,16,0,0,0,35,17,0,0,0,0,-18,-1260,0,0,72,48240,75%,476,65,13%,104,21%,339,8%,11%
BTR,18643,18643,0,3%,25,25,25,1,0,11,34,3,48,36,36,0,30,30000,0,0,0,0,50,7,19,1330,0,0,73,48910,75%,2968,310,10%,1165,39%,159,8%,11%
CUL,109,109,0,3%,1,3,1,1,0,4,2,0,6,6,6,0,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,0%,0,-0,-19%,0,111%,3,8%,11%
ETV,364,364,0,2%,1,1,1,1,0,3,6,2,11,11,11,0,47,39950,0,0,0,0,0,0,-12,-840,0,0,0,0,0%,98,28,28%,32,33%,270,8%,11%
FLU,306,306,0,3%,2,2,2,0,0,4,6,0,10,10,10,0,0,0,0,0,0,0,0,0,-12,-840,0,0,0,0,0%,16,-0,-2%,15,92%,54,8%,11%
FRO,524,524,0,2%,3,3,3,1,0,4,8,0,12,12,12,0,0,0,0,0,0,0,0,0,-16,-1120,0,0,0,0,25%,42,-0,-1%,37,87%,81,8%,11%
JIN,618,618,0,2%,1,1,1,0,0,4,8,0,12,12,12,0,0,0,0,0,0,0,6,0,-5,-350,0,0,8,5360,25%,82,5,6%,58,70%,132,8%,11%
KHM,6988,6988,0,6%,13,13,13,1,0,7,12,0,19,25,25,0,0,0,0,0,0,0,0,0,12,840,0,0,63,42210,0%,1640,71,4%,457,27%,234,8%,11%
KKV,546,546,0,2%,1,1,1,1,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,75%,120,-0,-0%,49,41%,220,8%,11%
KSA,4480,4480,0,2%,8,10,8,1,0,6,11,6,23,21,21,0,7,7000,13,6,37,370,0,0,26,1820,0,0,0,0,25%,1713,11,0%,343,20%,382,8%,11%
LNV,363,363,0,2%,1,1,1,1,0,3,4,0,7,7,7,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,25%,37,-0,-0%,31,85%,102,8%,11%
LOC,108,108,0,3%,1,1,1,1,0,4,4,0,8,8,8,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,0%,8,-0,-2%,8,98%,82,8%,11%
MES,879,879,0,6%,1,1,1,1,0,4,5,0,9,9,9,0,0,0,0,0,0,0,0,0,-10,-700,0,0,66,44220,0%,165,32,19%,86,51%,188,8%,11%
MJU,42785,35470,7314,3%,29,22,29,0,0,18,62,15,95,85,85,0,23,25300,63,31,22,220,47,7,99,6930,6,15,97,64990,60%,11592,895,7%,2006,17%,305,8%,11%
MNG,3079,3079,0,2%,7,7,7,0,0,5,8,1,14,14,14,0,6,6000,0,0,0,0,0,0,10,700,0,0,0,0,0%,355,5,1%,128,36%,115,8%,11%
MRV,163,163,0,2%,1,1,1,1,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,0%,30,-0,-0%,14,48%,184,8%,11%
OOD,7783,7783,0,2%,1,1,1,1,0,3,4,0,7,7,7,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,0%,1302,-0,-0%,528,40%,167,8%,11%
PER,263,263,0,5%,1,1,1,1,0,5,7,0,12,12,12,0,0,0,0,0,0,0,0,0,-7,-490,0,0,0,0,0%,24,-0,-1%,22,92%,91,8%,11%
QDT,2517,2517,0,3%,15,16,15,0,0,5,11,9,25,28,28,0,46,50600,6,3,0,0,0,0,60,4200,0,0,0,0,0%,1311,62,4%,128,9%,521,8%,11%
QUE,3359,3359,0,6%,12,12,12,1,0,5,13,3,21,25,25,0,0,0,0,0,0,0,0,0,-30,-2100,0,0,7,4690,0%,972,4,0%,233,24%,289,8%,11%
RIV,733,733,0,2%,2,2,2,1,0,3,5,2,10,10,10,0,60,72000,0,0,71,710,0,0,-10,-700,0,0,0,0,0%,198,50,25%,66,33%,270,8%,11%
RJV,214,214,0,3%,1,1,1,1,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,25%,41,-0,-0%,19,46%,194,8%,11%
RNV,363,363,0,2%,1,1,1,1,0,3,5,2,10,10,10,0,32,17600,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,81,11,13%,32,40%,225,8%,11%
SDP,28905,28905,0,5%,7,28,7,1,0,22,28,15,65,43,43,0,47,61100,61,30,0,0,0,0,85,5950,0,0,65,43550,0%,7019,416,5%,1211,17%,242,8%,11%
SKE,765,765,0,2%,2,2,2,1,0,5,6,0,11,11,11,0,0,0,0,0,0,0,0,0,-12,-840,0,0,0,0,0%,95,-0,-0%,70,73%,125,8%,11%
SMP,20693,20693,0,4%,5,5,5,1,0,2,19,0,21,27,27,0,0,0,0,0,0,0,135,20,3,210,0,0,62,41540,50%,4277,234,5%,1198,28%,206,8%,11%
SPP,29430,29430,0,4%,7,17,7,0,0,2,11,12,25,35,35,0,48,57600,0,0,0,0,0,0,49,3430,0,0,0,0,-5%,6463,244,3%,760,11%,219,8%,11%
SRV,363,363,0,2%,1,1,1,1,0,4,8,4,16,15,15,0,35,38500,0,0,0,0,0,0,-14,-980,0,0,0,0,25%,138,34,25%,17,12%,380,8%,11%
TNV,272,272,0,4%,1,1,1,1,0,5,4,2,11,11,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,75%,55,-0,-0%,23,42%,204,8%,11%
UMB,1977,1977,0,3%,4,4,4,0,0,4,9,5,18,18,18,0,0,0,0,0,0,0,0,0,6,420,0,0,0,0,50%,803,0,0%,149,18%,406,8%,11%
USV,108,108,0,2%,1,1,1,1,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,25%,16,-0,-1%,6,38%,154,8%,11%
WEA,219,219,0,3%,1,1,1,1,0,4,5,2,11,11,11,0,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,25%,42,-0,-0%,19,44%,193,8%,11%
HHE,158934,68781,97036,5%,89,14,88,0,0,48,68,14,130,182,180,0,40,32000,42,21,9,90,61,9,145,10150,36,90,47,31490,50%,26163,741,2%,7958,30%,258,8%,11%
HST,77939,71024,29,8%,58,62,59,0,0,29,32,11,72,82,71,0,28,15400,4,2,16,160,53,7,136,9520,48,120,37,24790,50%,11062,286,2%,4128,37%,155,8%,11%
AVE,135,135,0,3%,2,7,2,1,0,4,8,0,12,8,8,0,0,0,0,0,0,0,0,0,27,1890,0,0,21,14070,75%,19,13,70%,5,27%,146,8%,11%
ANA,611,611,0,6%,2,2,2,1,0,4,3,0,7,7,7,0,0,0,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,48,-0,-0%,39,81%,79,8%,11%
BIU,183,183,0,2%,2,7,2,1,0,5,6,0,11,9,9,0,0,0,0,0,0,0,0,0,35,2450,0,0,25,16750,25%,28,13,47%,14,49%,156,8%,11%
CPV,12819,8532,0,6%,6,6,7,0,0,7,8,0,15,18,14,0,0,0,0,0,0,0,19,2,26,1820,55,137,32,21440,0%,1528,44,2%,671,43%,179,8%,11%
DOC,3100,3100,0,3%,6,9,6,1,0,6,8,0,14,14,14,0,0,0,0,0,0,0,29,4,11,770,54,135,0,0,25%,645,21,3%,268,41%,208,8%,11%
DMP,216,1762,0,5%,6,9,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,280,0,0,0,0,50%,144,0,0%,131,91%,81,8%,11%
ERP,699,699,0,3%,2,2,2,1,0,3,5,2,10,10,10,0,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,25%,122,-0,-0%,49,40%,174,8%,11%
FIK,1714,1714,0,3%,3,3,3,1,0,4,5,2,11,11,11,0,0,0,0,0,0,0,0,0,-2,-140,0,0,0,0,75%,405,-0,-0%,136,33%,236,8%,11%
HPV,587,587,0,4%,5,5,5,0,0,5,5,0,10,13,13,0,21,21000,0,0,0,0,0,0,-14,-980,0,0,0,0,0%,37,13,35%,22,59%,63,8%,11%
IHS,2227,2227,0,5%,3,3,3,1,0,5,3,0,8,11,9,0,8,8000,0,0,0,0,0,0,0,0,0,0,0,0,0%,288,4,1%,146,50%,129,8%,11%
KGK,5280,5280,0,2%,7,13,7,1,0,6,10,1,17,18,18,0,0,0,0,0,0,0,0,0,-6,-420,0,0,0,0,75%,1503,-0,-0%,406,27%,284,8%,11%
LEE,2269,2269,0,2%,6,8,6,1,0,3,6,2,11,11,11,0,0,0,0,0,0,0,0,0,-12,-840,0,0,0,0,25%,346,-0,-0%,134,38%,152,8%,11%
LRO,405,405,0,2%,4,5,4,1,0,2,4,0,6,8,8,0,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,25%,30,-0,-0%,26,87%,74,8%,11%
MRC,36443,36443,0,4%,25,25,25,1,0,54,118,44,216,154,154,0,108,140400,114,57,10,100,66,9,446,31220,113,282,123,82410,75%,24450,4405,18%,1539,6%,670,8%,11%
NMR,1198,1198,0,3%,2,3,2,1,0,3,4,0,7,8,8,0,0,0,0,0,0,0,14,2,-10,-700,0,0,0,0,25%,122,1,0%,85,69%,102,8%,11%
PCS,1754,1754,0,2%,3,4,3,1,0,2,7,0,9,12,12,0,0,0,0,0,0,0,44,6,-14,-980,0,0,0,0,25%,233,5,2%,144,61%,133,8%,11%
REP,6815,6815,0,2%,12,23,12,1,0,7,16,4,27,24,24,0,0,0,0,0,0,0,55,8,18,1260,44,110,79,52930,75%,2211,148,6%,496,22%,324,8%,11%
RVV,6730,11017,0,3%,10,10,9,0,0,6,11,2,19,16,16,0,15,15000,13,6,0,0,7,1,6,420,17,42,44,29480,50%,1930,80,4%,785,40%,175,8%,11%
SEK,5725,5725,0,3%,11,11,11,0,0,3,6,4,13,16,16,0,0,0,0,0,0,0,0,0,2,140,0,0,8,5360,50%,1734,5,0%,350,20%,303,8%,11%
SMK,2275,2275,0,2%,3,4,3,1,0,4,5,0,9,9,9,0,0,0,0,0,0,0,0,0,-10,-700,29,72,0,0,25%,333,5,1%,187,56%,146,8%,11%
SRA,21246,15003,4697,7%,29,19,34,0,0,18,31,9,58,63,56,0,9,4950,0,0,0,0,0,0,23,1610,-4,-10,0,0,75%,5337,17,0%,1317,24%,322,8%,11%
SSD,11037,11037,0,3%,9,16,9,0,0,14,14,0,28,31,31,0,0,0,0,0,0,0,62,9,126,8820,106,265,16,10720,0%,4219,138,3%,434,10%,382,8%,11%
UFS,16469,16469,0,2%,25,27,25,1,0,9,22,8,39,43,43,0,1,1000,0,0,0,0,0,0,21,1470,0,0,0,0,0%,4242,5,0%,751,17%,257,8%,11%
WIE,481,481,0,5%,3,4,3,1,0,2,5,0,7,10,10,0,0,0,0,0,0,0,0,0,-14,-980,0,0,0,0,25%,42,-0,-1%,35,83%,87,8%,11%
BAR,75793,75793,0,3%,22,22,22,1,0,8,84,13,105,69,69,0,134,93800,0,0,31,310,36,5,166,11620,313,782,663,444210,75%,18956,7177,37%,5152,27%,250,8%,11%
FFN,22504,22504,0,2%,14,14,14,1,0,8,19,2,29,29,29,0,129,90300,0,0,25,250,0,0,91,6370,0,0,0,0,0%,4557,300,6%,1400,30%,202,8%,11%
LLA,11034,11034,0,2%,7,7,7,1,0,7,17,7,31,31,31,0,109,141700,16,8,0,0,0,0,4,280,-2,-5,0,0,0%,4243,443,10%,351,8%,384,8%,11%
DRC,85975,85866,0,3%,18,78,19,1,1,14,5,2,21,24,19,0,0,0,0,0,33,330,222,33,48,3360,17,42,13,8710,0%,6453,71,1%,4228,65%,75,8%,11%
DVE,6206,6206,0,6%,9,15,9,1,0,7,7,0,14,14,14,0,0,0,0,0,0,0,0,0,13,910,0,0,0,0,0%,1947,0,0%,303,15%,313,8%,11%
DVC,11960,11960,0,4%,2,5,2,0,0,2,8,0,10,8,8,0,0,0,0,0,0,0,0,0,35,2450,79,197,0,0,25%,1805,43,2%,639,35%,150,8%,11%
EPC,24621,24621,0,4%,21,78,21,0,0,1,4,4,9,16,16,0,0,0,9,4,32,320,0,0,14,980,-4,-10,9,6030,0%,2158,5,0%,1104,51%,87,8%,11%
EPY,55935,55935,0,3%,39,39,39,1,0,18,29,26,73,77,77,0,18,21600,80,40,313,3130,0,0,25,1750,135,337,254,170180,0%,13928,1375,9%,3157,22%,249,8%,11%
FDL,4381,4490,0,3%,3,3,2,0,1,6,1,0,7,7,2,0,0,0,0,0,0,0,31,4,20,1400,-2,-5,8,5360,0%,443,4,1%,205,46%,98,8%,11%
GHN,4354,4354,0,7%,3,3,3,0,0,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,446,0,0%,315,70%,102,8%,11%
GNG,11935,4345,0,5%,2,2,7,0,0,2,0,0,2,4,1,0,0,0,0,0,0,0,0,0,1,70,-2,-5,21,14070,25%,592,4,0%,316,53%,136,8%,11%
LCS,2210,2200,0,8%,3,3,4,0,0,2,0,2,4,4,3,0,0,0,0,0,30,300,0,0,0,0,0,0,0,0,25%,376,0,0%,91,24%,171,8%,11%
LMC,6591,6591,0,3%,2,2,2,0,0,4,1,2,7,7,6,0,0,0,0,0,5,50,0,0,-2,-140,0,0,7,4690,0%,1204,2,0%,263,21%,182,8%,11%
LMN,102286,102286,0,4%,12,78,12,0,0,4,11,8,23,20,20,0,0,0,5,2,0,0,0,0,65,4550,0,0,16,10720,25%,6969,38,0%,3736,53%,68,8%,11%
LPR,6512,14102,0,3%,10,78,5,1,0,6,0,0,6,7,3,0,0,0,0,0,0,0,0,0,8,560,-2,-5,0,0,25%,976,-0,-0%,721,73%,69,8%,11%
MYU,1085,1096,0,7%,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,67,0,0%,67,100%,61,8%,11%
NRS,5553,5553,0,5%,6,6,6,0,1,3,6,0,9,9,9,0,0,0,0,0,0,0,0,0,2,140,26,65,9,6030,0%,1015,12,1%,493,48%,182,8%,11%
NWE,6566,6566,0,3%,6,6,6,0,0,2,6,0,8,10,10,0,0,0,0,0,0,0,0,0,-14,-980,0,0,7,4690,0%,1042,3,0%,574,55%,158,8%,11%
RDN,4102,4102,0,3%,7,7,7,0,0,6,12,0,18,18,18,0,0,0,6,3,0,0,0,0,-3,-210,139,347,0,0,0%,812,49,6%,242,29%,197,8%,11%
ROM,9682,9682,0,3%,7,28,7,0,0,7,16,8,31,31,31,0,0,0,0,0,0,0,0,0,33,2310,78,195,13,8710,0%,2783,58,2%,690,24%,287,8%,11%
WYK,5484,5484,0,3%,5,5,5,0,0,3,5,2,10,10,10,0,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,1243,-0,-0%,476,38%,226,8%,11%
