Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
HST,212727,73211,30,6%,58,71,114,0,0,80,114,20,214,240,80,0,48,36000,32,16,16,160,91,13,249,17430,49,122,62,41540,90%,18682,989,5%,4201,22%,255,12%,16%
AVE,139,139,0,3%,2,7,2,1,0,4,6,0,10,9,9,0,0,0,0,0,0,0,0,0,26,1820,0,0,22,14740,25%,20,13,67%,5,27%,144,12%,16%
ANA,631,631,0,5%,2,2,2,1,0,4,4,0,8,8,8,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,0%,51,-0,-0%,41,81%,81,12%,16%
BIU,189,189,0,2%,2,7,2,1,0,5,5,2,12,11,11,0,0,0,0,0,0,0,0,0,48,3360,0,0,31,20770,25%,51,17,34%,14,28%,271,12%,16%
DOC,3203,3203,0,5%,6,9,6,1,1,9,8,0,17,17,17,0,0,0,0,0,0,0,32,4,11,770,60,150,0,0,0%,754,26,3%,272,36%,235,12%,16%
ERP,725,725,0,2%,2,2,2,0,0,3,5,2,10,10,10,0,0,0,0,0,0,0,0,0,-10,-700,0,0,7,4690,0%,128,3,2%,50,39%,177,12%,16%
FIK,1781,1781,0,3%,3,3,3,1,0,4,5,2,11,11,11,0,0,0,0,0,0,0,0,0,-2,-140,0,0,0,0,75%,432,-0,-0%,139,32%,242,12%,16%
HPV,104,605,223,5%,6,5,1,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,-2,-140,0,0,0,0,0%,35,-0,-0%,39,110%,52,12%,16%
IHS,2326,2326,0,5%,3,3,3,1,1,5,3,0,8,11,9,0,10,10000,0,0,0,0,0,0,0,0,0,0,0,0,0%,310,6,2%,150,48%,133,12%,16%
KGK,7848,5486,2361,2%,10,13,10,1,0,9,13,1,23,28,28,0,0,0,0,0,0,0,0,0,-14,-980,12,30,0,0,0%,1803,4,0%,606,33%,287,12%,16%
LEE,2358,2358,0,4%,6,8,6,1,0,3,6,2,11,11,11,0,0,0,0,0,0,0,0,0,-12,-840,0,0,0,0,0%,360,-0,-0%,137,38%,152,12%,16%
LRO,419,419,0,2%,4,5,4,1,0,2,4,0,6,8,8,0,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,25%,31,-0,-1%,26,85%,74,12%,16%
MRC,37778,37778,0,4%,25,25,25,1,0,72,128,45,245,176,176,0,136,197200,136,68,14,140,77,11,601,42070,133,332,153,102510,75%,30982,8132,26%,1616,5%,820,12%,16%
NMR,1242,1242,0,3%,2,3,2,0,0,3,5,0,8,9,9,0,0,0,0,0,0,0,14,2,-12,-840,0,0,9,6030,0%,125,5,4%,87,69%,101,12%,16%
PCS,1831,1831,0,2%,3,4,3,1,0,2,6,1,9,13,13,0,0,0,0,0,0,0,47,7,-14,-980,0,0,0,0,0%,326,6,1%,148,45%,178,12%,16%
REP,7054,7054,0,2%,12,23,12,1,1,7,12,4,23,25,24,0,0,0,0,0,0,0,59,8,19,1330,47,117,100,67000,0%,2151,168,7%,507,23%,304,12%,16%
RVV,20269,20269,0,9%,16,16,16,0,0,16,30,4,50,38,38,0,26,26000,16,8,0,0,30,4,66,4620,86,215,88,58960,50%,5563,548,9%,1596,28%,274,12%,16%
SEK,5934,5934,0,3%,11,11,11,0,0,3,6,4,13,16,16,0,0,0,0,0,0,0,0,0,3,210,0,0,9,6030,25%,1699,7,0%,356,20%,286,12%,16%
SRA,22556,15416,6415,7%,34,19,39,0,0,22,35,11,68,78,65,0,22,12100,0,0,0,0,0,0,24,1680,-4,-10,0,0,75%,5972,59,0%,1447,24%,340,12%,16%
SSD,11441,11441,0,2%,9,16,9,0,0,14,14,0,28,31,31,0,0,0,0,0,0,0,67,10,138,9660,114,285,18,12060,0%,4458,195,4%,443,9%,389,12%,16%
UFS,17113,17113,0,2%,25,27,25,1,0,9,23,10,42,46,46,0,2,2000,0,0,0,0,0,0,38,2660,0,0,9,6030,0%,4846,37,0%,767,15%,283,12%,16%
WIE,499,499,0,6%,3,4,3,1,0,3,5,0,8,11,11,0,0,0,0,0,0,0,0,0,-14,-980,0,0,7,4690,0%,45,3,6%,36,78%,91,12%,16%
BAR,78626,78626,0,3%,22,22,22,1,0,8,97,13,118,69,69,0,144,122400,0,0,34,340,42,6,483,33810,300,750,762,510540,50%,24466,11791,48%,5282,21%,311,12%,16%
FFN,23362,23362,0,2%,14,14,14,1,0,8,19,3,30,30,30,0,139,118150,0,0,27,270,0,0,101,7070,0,0,0,0,0%,5071,499,9%,1428,28%,217,12%,16%
LLA,11469,11469,0,2%,7,7,7,1,0,7,17,8,32,32,32,0,149,216050,32,16,0,0,0,0,29,2030,-2,-5,0,0,0%,5924,1082,18%,379,6%,516,12%,16%
DRC,152342,101704,0,3%,25,78,31,1,1,22,29,3,54,48,21,0,0,0,0,0,33,330,249,37,94,6580,94,235,22,14740,25%,7188,267,3%,4873,67%,70,12%,16%
DVE,6443,6443,0,5%,9,15,9,1,0,9,8,0,17,17,17,0,0,0,0,0,0,0,0,0,25,1750,0,0,0,0,0%,2938,2,0%,335,11%,456,12%,16%
DVC,34996,12283,0,9%,2,5,2,0,0,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,25%,1331,-0,-0%,645,48%,108,12%,16%
EPC,41156,25366,0,3%,21,78,25,0,0,1,5,5,11,24,17,0,0,0,9,4,37,370,0,0,18,1260,-4,-10,9,6030,25%,3164,8,0%,1120,35%,124,12%,16%
EPY,57543,57543,0,4%,39,39,39,1,1,20,30,32,82,83,83,0,20,29000,92,46,381,3810,0,0,90,6300,151,377,344,230480,0%,16487,2491,15%,3192,19%,286,12%,16%
LCS,2269,2258,0,7%,3,3,4,0,0,2,0,2,4,4,3,0,0,0,0,0,30,300,0,0,0,0,0,0,0,0,25%,401,0,0%,91,22%,177,12%,16%
LMN,18779,105143,0,5%,12,78,3,0,0,0,4,4,8,6,6,0,0,0,5,2,0,0,0,0,11,770,0,0,24,16080,25%,4582,18,0%,3751,81%,43,12%,16%
LPR,18412,21189,0,3%,13,78,12,1,0,9,0,0,9,10,5,0,0,0,0,0,0,0,0,0,21,1470,-4,-10,17,11390,0%,1722,3,0%,1231,71%,81,12%,16%
MYU,1110,1121,0,7%,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,68,0,0%,68,100%,60,12%,16%
NRS,5730,5730,0,6%,6,6,6,0,0,3,7,2,12,12,12,0,0,0,0,0,0,0,0,0,15,1050,32,80,9,6030,0%,1363,18,1%,500,36%,237,12%,16%
NWE,6816,6816,0,4%,6,6,6,0,0,2,6,0,8,10,10,0,0,0,0,0,0,0,0,0,-14,-980,0,0,7,4690,0%,1095,4,0%,585,53%,160,12%,16%
RDN,4253,4253,0,2%,7,7,7,0,0,7,13,2,22,22,22,0,0,0,7,3,0,0,0,0,-1,-70,196,490,0,0,0%,1235,91,7%,254,20%,290,12%,16%
ROM,4322,10000,0,6%,7,28,6,0,0,6,12,9,27,27,27,0,0,0,0,0,0,0,0,0,38,2660,85,212,4,2680,0%,2569,43,1%,701,27%,256,12%,16%
WYK,5689,5689,0,2%,5,5,5,0,0,3,6,3,12,12,12,0,0,0,0,0,0,0,0,0,-12,-840,0,0,7,4690,0%,1402,4,0%,489,34%,246,12%,16%
