Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
TPD,627,6%,3,3,3,3,0,6,0,0,0,0,0,0,17,2,-8,-560,28,70,18,12060,0%,73,16,21%,45,62%,116,19%,26%
TPP,16253,4%,28,28,9,13,2,24,0,0,77,38,0,0,0,0,30,2100,0,0,11,7370,0%,7019,26,0%,1184,16%,431,19%,26%
TRH,7453,2%,3,3,13,31,0,44,16,16000,0,0,0,0,13,1,96,6720,26,65,0,0,0%,12958,135,1%,543,4%,1738,19%,26%
TRI,3152,4%,5,5,3,6,3,12,0,0,0,0,0,0,61,9,-12,-840,103,257,11,7370,0%,1624,42,2%,229,14%,515,19%,26%
UEK,15345,2%,20,20,9,12,5,26,0,0,0,0,0,0,40,6,11,770,98,245,51,34170,0%,10971,124,1%,1118,10%,714,19%,26%
WGK,500,5%,4,4,4,6,2,12,0,0,0,0,0,0,0,0,-12,-840,87,217,11,7370,0%,82,30,36%,36,44%,163,19%,26%
AAV,123,4%,1,1,3,7,4,14,0,0,0,0,0,0,0,0,-14,-980,0,0,0,0,-5%,7,-1,-13%,9,117%,62,19%,26%
AGC,6547,2%,6,6,14,35,12,61,0,0,72,36,0,0,0,0,52,3640,0,0,0,0,0%,18866,34,0%,477,2%,2881,19%,26%
AHM,1383,5%,7,7,10,18,0,28,0,0,0,0,0,0,0,0,-38,-2660,0,0,0,0,0%,361,-7,-2%,100,27%,261,19%,26%
ARN,4680,2%,8,8,7,9,8,24,0,0,0,0,0,0,102,15,18,1260,0,0,18,12060,0%,7997,42,0%,341,4%,1708,19%,26%
ATL,7571,2%,4,4,5,13,6,24,135,236250,0,0,180,1800,0,0,-26,-1820,0,0,0,0,0%,8041,446,5%,551,6%,1062,19%,26%
AUC,5610,2%,15,15,15,36,11,62,25,36250,25,12,0,0,0,0,91,6370,0,0,0,0,0%,15691,207,1%,408,2%,2796,19%,26%
AUF,1556,2%,5,5,1,5,3,9,0,0,42,21,0,0,0,0,-16,-1120,0,0,88,58960,0%,419,69,16%,113,27%,269,19%,26%
BTR,20926,5%,25,25,12,34,5,51,37,59200,0,0,0,0,59,8,16,1120,0,0,89,59630,0%,15179,654,4%,1525,10%,725,19%,26%
CPF,396,5%,1,1,10,6,2,18,0,0,0,0,0,0,0,0,24,1680,-2,-5,11,7370,0%,41,8,19%,28,70%,103,19%,26%
CUL,120,6%,1,1,6,5,0,11,0,0,0,0,0,0,0,0,-10,-700,0,0,8,5360,0%,14,4,30%,8,61%,118,19%,26%
ETV,399,2%,1,1,3,4,2,9,58,101500,0,0,0,0,0,0,-8,-560,0,0,10,6700,0%,138,83,60%,29,21%,346,19%,26%
FLU,339,2%,2,2,9,5,0,14,0,0,0,0,0,0,0,0,-10,-700,0,0,8,5360,0%,32,4,12%,24,75%,96,19%,26%
FRO,579,6%,3,3,7,14,0,21,0,0,0,0,0,0,0,0,-28,-1960,0,0,0,0,0%,51,-4,-8%,42,82%,88,19%,26%
JIN,683,3%,1,1,9,8,0,17,0,0,0,0,0,0,11,1,5,350,0,0,0,0,0%,77,2,3%,49,64%,112,19%,26%
KHM,7863,5%,13,13,6,10,0,16,0,0,0,0,0,0,0,0,33,2310,0,0,72,48240,0%,6396,111,1%,573,8%,813,19%,26%
KKV,600,3%,1,1,3,4,2,9,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,56,3,5%,43,77%,93,19%,26%
KSA,5006,3%,8,8,7,8,10,25,44,57200,14,7,45,450,0,0,28,1960,0,0,0,0,0%,7837,78,0%,364,4%,1565,19%,26%
LNV,407,2%,1,1,3,6,2,11,0,0,0,0,0,0,0,0,-12,-840,0,0,8,5360,0%,37,4,11%,29,78%,93,19%,26%
LOC,122,3%,1,1,4,4,0,8,0,0,0,0,0,0,0,0,-8,-560,0,0,8,5360,0%,13,3,26%,8,64%,112,19%,26%
MES,974,3%,1,1,4,5,2,11,0,0,0,0,0,0,0,0,-10,-700,0,0,54,36180,0%,157,31,20%,71,45%,161,19%,26%
MJU,6577,2%,6,6,2,8,6,16,5,2750,0,0,0,0,0,0,9,630,0,0,0,0,60%,4153,4,0%,478,11%,631,19%,26%
MNG,3456,3%,7,7,5,10,3,18,9,9000,0,0,0,0,0,0,24,1680,0,0,0,0,0%,2666,16,0%,251,9%,771,19%,26%
MRV,183,2%,1,1,3,5,2,10,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,12,-0,-4%,13,103%,70,19%,26%
OOD,8551,5%,1,1,3,4,2,9,0,0,0,0,0,0,0,0,-8,-560,0,0,8,5360,0%,3811,3,0%,623,16%,445,19%,26%
PER,291,6%,1,1,6,7,0,13,0,0,0,0,0,0,0,0,-3,-210,0,0,8,5360,0%,30,6,20%,21,69%,104,19%,26%
QDT,2823,5%,15,15,15,10,11,36,70,122500,10,5,0,0,0,0,137,9590,0,0,11,7370,25%,3764,190,5%,205,5%,1333,19%,26%
QUE,3768,3%,12,12,5,12,5,22,0,0,0,0,0,0,0,0,-28,-1960,0,0,0,0,0%,4661,-4,-0%,274,5%,1236,19%,26%
RIV,822,2%,2,2,3,5,3,11,76,133000,0,0,90,900,0,0,-10,-700,0,0,0,0,0%,239,124,52%,59,25%,291,19%,26%
RJV,240,2%,1,1,3,4,2,9,0,0,0,0,0,0,0,0,-8,-560,0,0,8,5360,0%,22,3,16%,17,76%,95,19%,26%
RNV,404,3%,1,1,3,4,2,9,42,60900,0,0,0,0,0,0,-8,-560,0,0,11,7370,0%,98,52,53%,29,30%,242,19%,26%
SDP,32005,3%,7,7,14,80,25,119,78,136500,106,53,0,0,0,0,162,11340,-10,-25,107,71690,50%,30991,2339,7%,2332,7%,968,19%,26%
SKE,859,2%,2,2,5,7,2,14,0,0,0,0,0,0,0,0,-14,-980,0,0,0,0,0%,97,-1,-1%,62,64%,113,19%,26%
SMP,23206,3%,5,5,12,51,0,63,0,0,8,4,3,30,192,28,-43,-3010,0,0,82,54940,0%,19659,635,3%,1691,8%,847,19%,26%
SPC,36833,9%,18,18,37,136,14,187,67,117250,113,56,0,0,79,11,244,17080,22,55,138,92460,75%,47028,4372,9%,2685,5%,1276,19%,26%
SPP,32789,3%,7,7,3,29,14,46,99,173250,0,0,0,0,0,0,51,3570,0,0,11,7370,0%,22514,1046,4%,2390,10%,686,19%,26%
SRV,406,5%,1,1,4,9,5,18,61,106750,0,0,0,0,0,0,-18,-1260,0,0,11,7370,-5%,242,158,65%,29,12%,596,19%,26%
TNV,304,4%,1,1,8,6,2,16,0,0,0,0,0,0,0,0,4,280,-2,-5,10,6700,0%,31,6,20%,22,69%,104,19%,26%
UMB,2212,3%,4,4,4,8,9,21,0,0,0,0,0,0,0,0,19,1330,0,0,11,7370,0%,1175,14,1%,161,13%,531,19%,26%
USV,123,2%,1,1,3,5,2,10,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,8,-0,-6%,8,108%,67,19%,26%
WEA,243,4%,1,1,4,5,2,11,0,0,0,0,0,0,0,0,-10,-700,0,0,8,5360,0%,23,4,17%,17,74%,97,19%,26%
HHE,303349,7%,181,202,129,312,49,490,613,1685750,490,245,159,1590,787,118,919,64330,364,910,831,556770,15%,358679,172801,48%,22110,6%,1304,19%,26%
HUP,393,7%,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,28,-0,-0%,28,100%,217,19%,26%
AVE,149,2%,2,2,4,6,0,10,0,0,0,0,0,0,0,0,38,2660,0,0,41,27470,25%,51,30,58%,10,20%,347,19%,26%
BIU,202,5%,2,2,6,4,2,12,0,0,0,0,0,0,0,0,65,4550,0,0,39,26130,25%,43,22,50%,14,33%,216,19%,26%
CPV,21476,5%,15,15,40,27,4,71,109,158050,21,10,0,0,159,23,143,10010,142,355,115,77050,25%,23612,945,4%,1565,6%,1099,19%,26%
ERP,779,4%,2,2,3,5,2,10,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,73,-0,-0%,56,77%,94,19%,26%
FIK,1922,4%,3,3,5,7,2,14,0,0,0,0,0,0,0,0,-2,-140,0,0,7,4690,0%,537,5,1%,140,26%,279,19%,26%
HPV,111,7%,11,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,85,0,0%,8,9%,33,19%,26%
LEE,2545,6%,6,6,3,5,2,10,0,0,0,0,0,0,0,0,-10,-700,0,0,8,5360,0%,746,4,0%,185,24%,293,19%,26%
LRO,448,4%,4,4,2,4,0,6,0,0,0,0,0,0,0,0,-10,-700,0,0,8,5360,0%,40,4,10%,32,80%,90,19%,26%
MRC,40796,6%,29,25,106,221,74,401,455,1251250,411,205,89,890,177,26,1890,132300,451,1127,371,248570,45%,201430,52836,26%,2973,1%,4635,19%,26%
NMR,1344,4%,2,2,1,5,0,6,0,0,0,0,0,0,19,2,-12,-840,0,0,0,0,0%,164,1,1%,98,59%,122,19%,26%
NRP,5042,2%,8,10,6,21,2,29,4,4000,0,0,0,0,0,0,-22,-1540,0,0,0,0,0%,5698,6,0%,367,6%,1157,19%,26%
PCS,1994,4%,3,3,4,7,2,13,0,0,0,0,0,0,53,7,-14,-980,0,0,11,7370,0%,489,16,3%,145,29%,245,19%,26%
SEK,6336,2%,11,11,4,5,4,13,0,0,0,0,0,0,0,0,9,630,0,0,12,8040,0%,4644,10,0%,461,9%,732,19%,26%
SRA,18452,10%,19,27,33,28,12,73,15,15000,0,0,0,0,0,0,56,3920,-8,-20,11,7370,0%,22260,84,0%,1344,6%,1380,19%,26%
SSD,12340,5%,9,9,11,57,0,68,0,0,3,1,0,0,84,12,123,8610,147,367,24,16080,25%,17555,603,3%,899,5%,1422,19%,26%
UFS,8412,4%,25,8,5,9,3,17,0,0,0,0,0,0,0,0,20,1400,0,0,0,0,-5%,5488,2,0%,613,11%,296,19%,26%
WIE,532,4%,3,3,1,3,0,4,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,41,-0,-1%,38,92%,78,19%,26%
BAR,84637,4%,22,22,8,106,19,133,186,325500,0,0,44,440,40,6,438,30660,364,910,1092,731640,25%,56474,19177,33%,6169,10%,667,19%,26%
FFN,25338,2%,14,14,8,19,7,34,190,332500,0,0,57,570,0,0,135,9450,0,0,0,0,0%,12488,959,7%,1846,14%,492,19%,26%
LLA,12388,3%,7,7,16,10,15,41,149,260750,29,14,0,0,0,0,39,2730,-2,-5,11,7370,0%,16654,430,2%,902,5%,1344,19%,26%
DRC,276797,3%,58,69,29,32,25,86,0,0,18,9,77,770,287,43,226,15820,63,157,84,56280,25%,47232,821,1%,20175,42%,182,19%,26%
DVE,6938,3%,9,9,9,6,0,15,0,0,0,0,0,0,0,0,17,1190,0,0,11,7370,0%,5060,8,0%,505,9%,729,19%,26%
EPC,2947,5%,20,9,0,4,4,8,0,0,0,0,31,310,0,0,0,0,0,0,0,0,0%,4360,0,0%,214,4%,212,19%,26%
EPY,59029,6%,39,39,18,52,32,102,23,40250,119,59,446,4460,0,0,555,38850,138,345,381,255270,25%,32444,2485,7%,4302,13%,549,19%,26%
NRS,6166,4%,6,6,7,10,2,19,0,0,0,0,0,0,0,0,-20,-1400,29,72,0,0,0%,5995,9,0%,449,7%,972,19%,26%
NWE,7313,6%,6,6,2,7,2,11,0,0,0,0,0,0,0,0,-16,-1120,0,0,7,4690,0%,4066,4,0%,533,13%,556,19%,26%
RDN,4642,6%,7,7,11,13,2,26,0,0,0,0,0,0,0,0,6,420,345,862,11,7370,0%,8104,180,2%,338,4%,1745,19%,26%
ROM,10483,2%,6,6,8,18,10,36,0,0,0,0,0,0,0,0,83,5810,143,357,24,16080,25%,11696,148,1%,764,6%,1115,19%,26%
WYK,6132,5%,5,5,3,6,4,13,0,0,0,0,0,0,0,0,-12,-840,0,0,7,4690,0%,4617,3,0%,447,9%,752,19%,26%
