Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
AGC,5452,5452,0,2%,6,6,6,1,0,7,12,5,24,19,19,0,0,0,43,21,0,0,0,0,61,4270,0,0,0,0,50%,2250,8,0%,234,10%,412,3%,4%
AHM,1189,1189,0,2%,7,7,7,1,0,5,9,0,14,17,17,0,0,0,0,0,0,0,0,0,-22,-1540,0,0,0,0,25%,135,-1,-0%,83,61%,114,3%,4%
ARN,3871,3871,0,2%,8,14,8,0,0,7,9,1,17,15,15,0,0,0,0,0,0,0,50,7,3,210,0,0,13,8710,50%,1191,18,1%,211,17%,307,3%,4%
ATL,6378,6378,0,2%,4,4,4,1,0,4,14,3,21,15,15,0,86,55900,0,0,115,1150,0,0,-16,-1120,0,0,0,0,50%,2347,122,5%,158,6%,367,3%,4%
AUC,4701,4701,0,2%,15,15,15,1,0,5,22,6,33,22,21,0,17,9350,17,8,0,0,0,0,63,4410,0,0,0,0,50%,1762,27,1%,300,17%,374,3%,4%
AUF,1332,1332,0,2%,5,5,5,1,0,1,4,3,8,14,14,0,0,0,27,13,0,0,0,0,-14,-980,0,0,62,41540,50%,380,27,7%,99,26%,285,3%,4%
BTR,17611,17611,0,3%,25,25,25,0,0,4,20,3,27,23,23,0,24,13200,0,0,0,0,39,5,15,1050,0,0,55,36850,50%,2405,114,4%,1128,46%,136,3%,4%
CPF,336,336,0,3%,1,4,1,0,0,4,3,0,7,7,7,0,0,0,0,0,0,0,0,0,3,210,0,0,0,0,0%,30,0,0%,28,91%,91,3%,4%
CUL,103,103,0,3%,1,3,1,1,0,4,2,0,6,6,6,0,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,0,-0,-20%,0,112%,3,3%,4%
ETV,346,346,0,1%,1,1,1,1,0,3,6,2,11,8,8,0,39,21450,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,81,15,18%,30,37%,235,3%,4%
FLU,291,291,0,3%,2,2,2,1,0,4,4,0,8,8,8,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,50%,16,-0,-1%,14,92%,55,3%,4%
FRO,498,498,0,3%,3,3,3,1,0,4,5,0,9,9,9,0,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,50%,40,-0,-0%,35,86%,81,3%,4%
JIN,588,588,0,3%,1,1,1,1,0,4,5,0,9,9,9,0,0,0,0,0,0,0,4,0,-2,-140,0,0,0,0,25%,67,0,0%,52,77%,114,3%,4%
KHM,6615,6615,0,6%,13,13,13,1,0,4,9,0,13,17,17,0,0,0,0,0,0,0,0,0,13,910,0,0,43,28810,50%,1429,41,2%,433,30%,216,3%,4%
KKV,519,519,0,1%,1,1,1,0,0,3,3,0,6,6,6,0,0,0,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,58,-0,-0%,46,79%,111,3%,4%
KSA,4260,4260,0,3%,8,10,8,1,0,6,9,4,19,17,17,0,5,2750,9,4,29,290,0,0,17,1190,0,0,0,0,50%,1373,4,0%,329,23%,322,3%,4%
LNV,346,346,0,0%,1,1,1,1,0,3,2,0,5,5,5,0,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,34,-0,-0%,29,84%,100,3%,4%
LOC,103,103,0,4%,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,8,0,0%,7,95%,80,3%,4%
MES,836,836,0,3%,1,1,1,1,0,4,4,0,8,7,7,0,0,0,0,0,0,0,0,0,-6,-420,0,0,41,27470,50%,124,16,13%,74,60%,148,3%,4%
MJU,33785,33785,0,2%,21,22,21,0,0,11,37,7,55,45,45,0,12,8400,46,23,20,200,43,6,65,4550,0,0,82,54940,60%,7681,494,6%,1523,19%,227,3%,4%
MNG,2921,2921,0,3%,7,7,7,1,0,5,6,1,12,11,11,0,6,6000,0,0,0,0,0,0,16,1120,0,0,0,0,50%,352,5,1%,123,35%,120,3%,4%
MRV,155,155,0,1%,1,1,1,1,0,3,2,0,5,5,5,0,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,14,-0,-0%,13,92%,96,3%,4%
OOD,7376,7376,0,3%,1,1,1,1,0,3,2,0,5,5,5,0,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,1010,-0,-0%,472,46%,136,3%,4%
PER,250,250,0,2%,1,1,1,1,0,4,5,0,9,9,9,0,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,25%,22,-0,-0%,20,93%,89,3%,4%
QDT,2392,2392,0,3%,15,16,15,0,0,5,11,5,21,22,22,0,44,24200,6,3,0,0,0,0,61,4270,0,0,0,0,25%,855,30,3%,124,14%,357,3%,4%
QUE,3184,3184,0,2%,12,12,12,1,0,5,10,3,18,22,22,0,0,0,0,0,0,0,0,0,-24,-1680,0,0,0,0,25%,873,-1,-0%,224,25%,274,3%,4%
RIV,693,693,0,2%,2,2,2,0,0,2,7,0,9,5,5,0,49,26950,0,0,59,590,0,0,-6,-420,0,0,0,0,50%,99,22,22%,61,61%,144,3%,4%
RJV,204,204,0,1%,1,1,1,1,0,3,2,0,5,5,5,0,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,20,-0,-0%,18,90%,98,3%,4%
RNV,346,346,0,0%,1,1,1,1,0,2,5,2,9,7,7,0,23,12650,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,74,8,10%,29,39%,214,3%,4%
SDP,27243,27243,0,4%,7,28,7,1,0,15,35,9,59,23,23,0,40,24000,42,21,0,0,0,0,72,5040,0,0,43,28810,75%,5037,224,4%,1119,22%,184,3%,4%
SKE,727,727,0,3%,2,2,2,1,0,3,6,0,9,9,9,0,0,0,0,0,0,0,0,0,-12,-840,0,0,0,0,50%,85,-0,-0%,65,76%,117,3%,4%
SMP,19605,19605,0,4%,5,5,5,0,0,1,15,0,16,18,18,0,0,0,0,0,0,0,107,16,6,420,0,0,45,30150,75%,2822,107,3%,1125,39%,143,3%,4%
SPC,6603,6603,0,2%,7,11,7,0,0,6,13,4,23,19,19,0,21,17850,11,5,0,0,0,0,26,1820,11,27,0,0,50%,2262,37,1%,368,16%,342,3%,4%
SPP,27914,27914,0,4%,7,17,7,0,0,1,16,6,23,27,27,0,41,24600,0,0,0,0,0,0,36,2520,0,0,0,0,75%,5250,105,2%,729,13%,188,3%,4%
SRV,346,346,0,2%,1,1,1,1,0,4,6,4,14,13,13,0,27,14850,0,0,0,0,0,0,-10,-700,0,0,0,0,50%,106,10,9%,16,15%,306,3%,4%
TNV,259,259,0,1%,1,1,1,1,0,3,2,2,7,7,7,0,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,49,-0,-0%,22,44%,192,3%,4%
UMB,1876,1876,0,3%,4,4,4,1,0,4,6,1,11,11,11,0,0,0,0,0,0,0,0,0,8,560,0,0,0,0,50%,378,0,0%,141,37%,201,3%,4%
USV,103,103,0,1%,1,1,1,1,0,2,2,0,4,4,4,0,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,5,-0,-1%,5,98%,56,3%,4%
WEA,208,208,0,3%,1,1,1,1,0,4,3,2,9,9,9,0,0,0,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,40,-0,-0%,17,44%,192,3%,4%
HHE,86022,40614,45297,2%,30,7,31,0,0,18,33,9,60,82,80,0,10,5500,15,7,5,50,27,4,93,6510,35,87,14,9380,50%,12127,151,1%,3530,29%,217,3%,4%
HCR,3193,2206,0,3%,4,4,6,0,0,1,5,1,7,11,8,0,1,550,0,0,0,0,0,0,23,1610,-2,-5,0,0,50%,284,0,0%,141,49%,129,3%,4%
HER,4518,4518,0,4%,14,14,14,0,0,3,5,0,8,9,9,0,0,0,11,5,0,0,13,1,11,770,6,15,0,0,50%,550,3,0%,331,60%,121,3%,4%
HET,1714,1318,0,3%,1,1,2,0,0,2,2,0,4,5,4,0,0,0,0,0,0,0,0,0,20,1400,0,0,0,0,50%,290,0,0%,103,35%,220,3%,4%
HLF,9971,10553,0,4%,5,5,4,0,0,4,7,0,11,11,11,0,12,6600,0,0,0,0,0,0,25,1750,0,0,14,9380,50%,1871,18,0%,649,34%,177,3%,4%
HNO,24241,19953,4288,3%,10,7,10,0,0,9,22,0,31,31,31,0,36,19800,13,6,0,0,4,0,26,1820,0,0,39,26130,50%,3986,116,2%,1230,30%,186,3%,4%
HPP,12976,12384,297,3%,17,17,19,0,0,6,4,4,14,24,24,0,0,0,0,0,21,210,0,0,15,1050,0,0,0,0,50%,2487,0,0%,817,32%,199,3%,4%
HRF,4624,4596,0,4%,8,8,9,0,0,1,5,1,7,10,10,0,0,0,0,0,0,0,21,3,4,280,12,30,42,28140,50%,765,26,3%,328,42%,166,3%,4%
HSP,15700,15811,0,4%,14,19,13,0,0,5,9,6,20,22,22,0,0,0,0,0,0,0,15,2,25,1750,11,27,0,0,50%,3043,7,0%,1075,35%,192,3%,4%
HST,49161,44005,5155,4%,21,26,21,0,0,7,18,4,29,31,31,0,6,3300,0,0,0,0,35,5,64,4480,43,107,27,18090,50%,5957,125,2%,2807,47%,130,3%,4%
HUP,4748,4574,333,5%,6,19,7,0,0,0,4,3,7,10,6,0,0,0,0,0,0,0,0,0,7,490,0,0,0,0,50%,972,0,0%,359,36%,207,3%,4%
HWA,1369,2924,0,6%,7,15,2,0,0,0,2,0,2,4,4,0,1,550,0,0,0,0,0,0,-1,-70,0,0,0,0,50%,307,0,0%,221,72%,105,3%,4%
HAW,1111,1055,0,6%,8,44,7,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,40,-0,-0%,45,111%,38,3%,4%
HCO,6948,6366,0,4%,3,4,4,0,0,3,6,0,9,10,9,0,8,4400,23,11,0,0,0,0,32,2240,0,0,0,0,50%,1613,8,0%,139,8%,253,3%,4%
HDW,163,176,0,4%,3,7,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,-2,-140,16,40,0,0,50%,10,1,12%,8,84%,57,3%,4%
HJU,2340,2340,0,5%,3,7,3,0,0,0,2,0,2,4,4,0,4,2200,0,0,0,0,0,0,-6,-420,0,0,4,2680,50%,226,2,1%,190,84%,96,3%,4%
HUF,8321,8321,0,4%,7,7,7,0,0,3,6,2,11,11,11,0,2,1100,0,0,0,0,0,0,4,280,0,0,5,3350,50%,1380,4,0%,650,47%,165,3%,4%
AVE,128,128,0,2%,2,7,2,1,0,3,4,0,7,6,6,0,0,0,0,0,0,0,0,0,17,1190,0,0,13,8710,50%,9,5,54%,4,46%,77,3%,4%
ANA,582,582,0,1%,2,2,2,1,0,4,2,0,6,6,6,0,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,44,-0,-0%,37,82%,77,3%,4%
BIU,175,175,0,2%,2,7,2,1,0,5,3,0,8,7,7,0,0,0,0,0,0,0,0,0,26,1820,0,0,18,12060,50%,20,6,33%,12,63%,116,3%,4%
CPV,8181,8181,0,3%,6,6,6,0,0,6,6,0,12,12,12,0,0,0,0,0,0,0,15,2,23,1610,41,102,15,10050,0%,1390,19,1%,628,45%,170,3%,4%
DOC,2699,2699,0,2%,4,9,4,0,0,3,4,0,7,7,7,0,0,0,0,0,0,0,22,3,13,910,41,102,0,0,0%,416,9,2%,254,61%,154,3%,4%
DMP,1763,1763,0,3%,7,9,7,1,0,5,2,0,7,8,8,0,0,0,0,0,0,0,0,0,8,560,0,0,0,0,50%,191,0,0%,135,70%,108,3%,4%
ERP,665,665,0,3%,2,2,2,0,0,3,3,2,8,8,8,0,0,0,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,116,-0,-0%,46,40%,174,3%,4%
ETF,1004,1387,0,1%,7,13,7,0,0,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,9,630,0,0,0,0,50%,152,0,0%,114,75%,110,3%,4%
FIK,1628,1628,0,3%,3,3,3,1,0,4,4,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,237,0,0%,132,55%,145,3%,4%
GSD,5136,5136,0,3%,3,4,3,0,0,6,7,0,13,11,11,0,0,0,0,0,0,0,15,2,36,2520,31,77,0,0,25%,1807,12,0%,116,6%,351,3%,4%
HPV,483,483,0,4%,4,5,4,0,0,5,4,0,9,11,11,0,18,9900,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,22,5,22%,15,69%,46,3%,4%
IHS,2100,2100,0,4%,3,3,3,0,0,2,3,0,5,7,7,0,7,3850,0,0,0,0,0,0,-2,-140,0,0,0,0,50%,227,2,0%,141,62%,108,3%,4%
KGK,5010,5010,0,1%,7,13,7,0,0,4,8,0,12,12,12,0,0,0,0,0,0,0,0,0,-2,-140,0,0,0,0,50%,845,-0,-0%,392,46%,168,3%,4%
LEE,2146,2146,0,1%,6,8,6,1,0,3,4,0,7,7,7,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,50%,138,-0,-0%,130,94%,64,3%,4%
LRO,385,385,0,1%,4,5,4,0,0,2,2,0,4,6,6,0,0,0,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,28,-0,-0%,24,86%,75,3%,4%
MRC,34579,33711,868,3%,25,22,25,0,0,11,95,26,132,92,92,0,108,102600,113,56,10,100,66,9,460,32200,94,235,123,82410,75%,15348,2900,18%,1838,11%,451,3%,4%
NMR,1140,1140,0,1%,2,3,2,0,0,3,3,0,6,6,6,0,0,0,0,0,0,0,10,1,-6,-420,0,0,0,0,50%,106,0,0%,80,75%,93,3%,4%
NRP,4147,4147,0,1%,8,9,8,0,0,3,5,0,8,8,8,0,3,1650,0,0,0,0,0,0,8,560,0,0,0,0,50%,685,1,0%,293,42%,165,3%,4%
PCS,1659,1659,0,2%,3,4,3,0,0,1,7,0,8,8,8,0,0,0,0,0,0,0,33,4,-12,-840,0,0,0,0,50%,204,3,1%,136,66%,123,3%,4%
REP,2116,2144,0,2%,6,19,5,0,0,2,4,0,6,7,7,0,0,0,0,0,0,0,12,1,9,630,19,47,0,0,50%,331,4,1%,155,46%,154,3%,4%
RVV,10478,10478,0,3%,10,10,10,0,0,7,8,2,17,15,15,0,14,7700,12,6,0,0,6,0,31,2170,15,37,29,19430,50%,1994,39,1%,804,40%,190,3%,4%
SEK,5414,5414,0,2%,11,11,11,0,0,3,5,4,12,14,14,0,0,0,0,0,0,0,0,0,6,420,0,0,8,5360,50%,1640,4,0%,336,20%,302,3%,4%
SFG,5011,7017,0,6%,12,19,6,0,0,4,4,3,11,11,10,0,0,0,0,0,0,0,0,0,3,210,-2,-5,0,0,50%,1631,-0,-0%,437,26%,232,3%,4%
SMK,2161,2161,0,1%,3,4,3,0,0,4,2,0,6,6,6,0,0,0,0,0,0,0,0,0,-4,-280,23,57,0,0,50%,274,2,0%,176,64%,127,3%,4%
SRA,4908,2743,0,6%,3,19,8,0,0,8,11,0,19,19,12,0,5,2750,0,0,0,0,0,0,5,350,-2,-5,0,0,50%,279,2,0%,197,70%,101,3%,4%
SSD,5309,5309,0,3%,6,6,6,0,0,4,4,0,8,10,10,0,0,0,0,0,0,0,33,4,68,4760,52,130,6,4020,25%,1024,18,1%,301,29%,192,3%,4%
UFS,12932,12714,0,2%,18,27,20,0,0,7,16,4,27,28,27,0,0,0,0,0,0,0,0,0,18,1260,0,0,0,0,50%,2897,1,0%,511,17%,227,3%,4%
WIE,457,457,0,1%,3,4,3,0,0,2,4,0,6,8,8,0,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,50%,38,-0,-0%,33,86%,85,3%,4%
BAR,71389,71389,0,1%,22,22,22,0,0,7,57,6,70,59,59,0,112,56000,0,0,27,270,31,4,16,1120,277,692,530,355100,50%,12579,3390,26%,4939,39%,176,3%,4%
FFN,21232,21232,0,1%,14,14,14,0,0,7,29,0,36,23,23,0,118,70800,0,0,23,230,0,0,85,5950,0,0,0,0,50%,3756,256,6%,1347,35%,176,3%,4%
LLA,10432,10432,0,3%,7,7,7,1,0,7,15,7,29,23,23,0,86,55900,14,7,0,0,0,0,14,980,-2,-5,0,0,50%,3823,122,3%,337,8%,366,3%,4%
DRC,56932,56932,0,4%,9,78,9,1,0,9,4,0,13,11,7,0,0,0,0,0,0,0,179,26,24,1680,15,37,0,0,25%,3602,22,0%,2527,70%,63,3%,4%
DVE,5859,5859,0,3%,9,15,9,0,0,7,5,0,12,12,12,0,0,0,0,0,0,0,0,0,9,630,0,0,0,0,25%,1684,0,0%,285,16%,287,3%,4%
DVC,11363,11363,0,3%,2,5,2,0,0,2,4,0,6,5,5,0,0,0,0,0,0,0,0,0,39,2730,75,187,0,0,25%,1280,16,1%,624,48%,112,3%,4%
EPC,18296,18055,0,5%,18,78,20,0,0,0,4,2,6,12,12,0,0,0,7,3,25,250,0,0,8,560,-4,-10,0,0,0%,1329,0,0%,850,63%,73,3%,4%
EPY,53231,53231,0,3%,39,39,39,1,0,17,40,13,70,60,60,0,16,8800,73,36,283,2830,0,0,26,1820,124,310,233,156110,50%,11555,1118,9%,3079,26%,217,3%,4%
FDL,4264,4264,0,3%,3,3,3,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,25,3,8,560,0,0,0,0,25%,361,1,0%,200,55%,84,3%,4%
FGJ,5143,5384,0,7%,3,6,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,230,0,0%,230,100%,42,3%,4%
GHN,4156,4156,0,4%,3,3,3,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,432,0,0%,310,71%,103,3%,4%
GNG,4145,4145,0,3%,2,2,2,0,0,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16750,25%,442,5,1%,309,70%,106,3%,4%
JJY,3118,3118,0,9%,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9380,25%,202,3,1%,199,98%,64,3%,4%
LCF,7283,7283,0,3%,3,3,3,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,11,770,0,0,0,0,25%,573,0,0%,413,72%,78,3%,4%
LCS,2091,2091,0,6%,3,3,3,1,0,1,0,0,1,1,1,0,0,0,0,0,30,300,0,0,0,0,0,0,0,0,25%,186,0,0%,88,47%,89,3%,4%
LMC,6249,6249,0,5%,2,2,2,1,0,3,1,0,4,4,4,0,0,0,0,0,5,50,0,0,-2,-140,0,0,0,0,25%,886,-0,-0%,257,28%,141,3%,4%
LMN,94554,94554,0,6%,10,78,10,0,0,4,9,4,17,15,15,0,0,0,5,2,0,0,0,0,67,4690,0,0,0,0,25%,5628,6,0%,3467,61%,59,3%,4%
LPR,13450,13450,0,3%,10,78,10,0,0,4,0,0,4,4,4,0,0,0,0,0,0,0,0,0,11,770,-2,-5,0,0,25%,1160,0,0%,708,61%,86,3%,4%
MYU,1046,1046,0,3%,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,66,0,0%,66,100%,63,3%,4%
NRS,5286,5286,0,3%,6,6,6,0,0,3,3,0,6,6,6,0,0,0,0,0,0,0,0,0,-6,-420,21,52,0,0,25%,806,2,0%,470,58%,152,3%,4%
NWE,6219,6219,0,3%,6,6,6,0,0,2,5,0,7,9,9,0,0,0,0,0,0,0,0,0,-12,-840,0,0,0,0,25%,958,-0,-0%,551,57%,154,3%,4%
RDN,3887,3887,0,3%,7,7,7,0,0,5,9,0,14,14,14,0,0,0,0,0,0,0,0,0,0,0,114,285,0,0,0%,710,30,4%,230,32%,182,3%,4%
ROM,9147,9147,0,3%,7,28,7,0,0,7,14,2,23,23,23,0,0,0,0,0,0,0,0,0,22,1540,58,145,10,6700,25%,1981,38,1%,653,32%,216,3%,4%
RPG,10942,10942,0,3%,2,2,2,0,0,2,1,1,4,4,4,0,0,0,0,0,13,130,0,0,6,420,0,0,17,11390,25%,1201,5,0%,779,64%,109,3%,4%
RPT,2078,2078,0,4%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,133,0,0%,133,100%,64,3%,4%
SSJ,1036,1036,0,4%,1,1,1,1,0,0,1,2,3,3,3,0,0,0,0,0,19,190,0,0,-2,-140,0,0,0,0,25%,164,0,0%,44,26%,158,3%,4%
WYK,5186,5186,0,3%,5,5,5,0,0,3,3,2,8,8,8,0,0,0,0,0,0,0,0,0,-6,-420,0,0,0,0,25%,1080,-0,-0%,455,42%,208,3%,4%
XIF,3640,3640,0,3%,2,2,2,0,0,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,-2,-140,0,0,0,0,25%,391,-0,-0%,246,63%,107,3%,4%
D01,20,20,0,1%,2,7,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,1,0,0%,1,100%,79,3%,4%
