# 1:00, 1 Incarnatio(1), 1730 Data
Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
LNV,370,2%,1,1,3,5,2,10,0,0,0,0,0,0,0,0,-10,-700,0,0,7,4690,75%,32,4,12%,25,78%,87,10%,14%
LOC,111,2%,1,1,4,4,0,8,0,0,0,0,0,0,0,0,-8,-560,0,0,8,5360,0%,12,3,29%,7,63%,108,10%,14%
MES,895,2%,1,1,4,5,2,11,0,0,0,0,0,0,0,0,-10,-700,0,0,54,36180,0%,132,31,23%,61,46%,147,10%,14%
MNG,3142,2%,7,7,5,7,3,15,8,8000,0,0,0,0,0,0,22,1540,0,0,0,0,0%,1759,10,0%,216,12%,559,10%,14%
MRV,166,2%,1,1,3,4,2,9,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,25%,11,-0,-3%,11,103%,66,10%,14%
OOD,7858,5%,1,1,3,4,2,9,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,3244,3,0%,542,16%,412,10%,14%
PER,268,5%,1,1,4,7,0,11,0,0,0,0,0,0,0,0,-7,-490,0,0,7,4690,0%,25,4,19%,18,73%,93,10%,14%
QDT,2574,2%,15,15,5,10,7,22,53,53000,8,4,0,0,0,0,74,5180,0,0,8,5360,0%,1558,104,6%,177,11%,605,10%,14%
QUE,3417,2%,12,12,5,12,5,22,0,0,0,0,0,0,0,0,-28,-1960,0,0,0,0,0%,3290,-3,-0%,235,7%,962,10%,14%
RIV,745,3%,2,2,3,8,0,11,59,59000,0,0,70,700,0,0,-10,-700,0,0,0,0,25%,137,67,49%,51,37%,184,10%,14%
RJV,218,2%,1,1,3,4,2,9,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,0%,14,-0,-2%,15,101%,68,10%,14%
RNV,369,2%,1,1,3,3,2,8,29,29000,0,0,0,0,0,0,-6,-420,0,0,8,5360,50%,61,29,47%,25,41%,166,10%,14%
SDP,29349,5%,7,7,19,38,17,74,64,64000,51,25,0,0,0,0,94,6580,0,0,60,40200,50%,13712,421,3%,2025,14%,467,10%,14%
SKE,780,3%,2,2,5,7,2,14,0,0,0,0,0,0,0,0,-14,-980,0,0,0,0,75%,80,-1,-1%,53,66%,103,10%,14%
SMP,21147,4%,5,5,2,19,0,21,0,0,0,0,0,0,145,21,-7,-490,0,0,62,41540,0%,9777,213,2%,1459,14%,462,10%,14%
SPC,33544,4%,18,18,25,58,14,97,24,24000,35,17,0,0,38,5,58,4060,11,27,57,38190,75%,22589,570,2%,2315,10%,673,10%,14%
SPP,30004,4%,7,7,2,12,14,28,73,73000,0,0,0,0,0,0,69,4830,0,0,9,6030,0%,13951,201,1%,2070,14%,464,10%,14%
SRV,370,6%,1,1,4,9,4,17,41,41000,0,0,0,0,0,0,-18,-1260,0,0,0,0,-5%,91,53,58%,25,27%,247,10%,14%
TNV,277,2%,1,1,3,5,2,10,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,75%,19,-0,-3%,19,99%,69,10%,14%
UMB,2015,2%,4,4,4,8,4,16,0,0,0,0,0,0,0,0,8,560,0,0,8,5360,0%,607,7,1%,139,22%,301,10%,14%
USV,111,2%,1,1,3,4,2,9,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,25%,7,-0,-6%,7,106%,64,10%,14%
WEA,223,3%,1,1,4,5,2,11,0,0,0,0,0,0,0,0,-10,-700,0,0,7,4690,0%,20,3,17%,15,77%,89,10%,14%
HHE,243447,7%,148,148,91,105,32,228,85,85000,72,36,29,290,125,18,381,26670,105,262,120,80400,0%,75615,3768,4%,16801,22%,563,10%,14%
HUP,356,7%,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,24,0,0%,24,100%,42949672,10%,14%
AVE,137,2%,2,2,4,5,0,9,0,0,0,0,0,0,0,0,26,1820,0,0,31,20770,25%,33,19,57%,9,28%,244,10%,14%
ANA,621,2%,2,2,4,4,0,8,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,0%,49,-0,-0%,42,86%,79,10%,14%
BIU,186,5%,2,2,5,4,0,9,0,0,0,0,0,0,0,0,27,1890,0,0,20,13400,25%,31,15,48%,12,41%,166,10%,14%
CPV,19766,7%,15,15,19,18,2,39,18,18000,16,8,0,0,37,5,105,7350,110,275,81,54270,0%,10728,285,2%,1364,12%,542,10%,14%
CYR,3931,4%,5,5,1,13,2,16,0,0,34,17,0,0,0,0,40,2800,198,495,0,0,50%,4191,112,2%,271,6%,1066,10%,14%
DOC,7783,2%,12,12,5,12,0,17,0,0,0,0,0,0,56,8,19,1330,74,185,58,38860,25%,5152,127,2%,537,10%,661,10%,14%
ERP,711,3%,2,2,3,5,2,10,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,25%,60,-0,-1%,49,80%,85,10%,14%
FIK,1751,6%,3,3,4,6,2,12,0,0,0,0,0,0,0,0,-2,-140,0,0,7,4690,0%,346,4,1%,120,34%,197,10%,14%
HPV,2368,4%,11,11,12,9,0,21,19,19000,0,0,0,0,0,0,-8,-560,0,0,0,0,0%,1167,29,2%,163,13%,493,10%,14%
IHS,2276,4%,3,3,3,3,1,7,11,11000,0,0,0,0,0,0,0,0,0,0,9,6030,0%,584,12,2%,157,26%,256,10%,14%
KGK,5346,3%,7,7,5,11,1,17,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,0%,4427,-0,-0%,368,8%,828,10%,14%
LEE,2311,6%,6,6,3,5,0,8,0,0,0,0,0,0,0,0,-10,-700,0,0,7,4690,0%,444,3,0%,159,35%,192,10%,14%
LRO,411,2%,4,4,2,4,0,6,0,0,0,0,0,0,0,0,-10,-700,0,0,7,4690,0%,34,3,10%,28,82%,83,10%,14%
MRC,25959,4%,16,16,52,197,6,255,0,0,215,107,36,360,125,18,773,54110,0,0,189,126630,75%,41452,4639,11%,1791,4%,1842,10%,14%
MAI,3665,3%,2,2,1,14,4,19,0,0,0,0,0,0,0,0,11,770,31,77,65,43550,75%,5772,122,2%,252,4%,1574,10%,14%
MOI,797,3%,2,2,1,12,5,18,67,67000,0,0,0,0,0,0,-18,-1260,0,0,0,0,75%,232,121,52%,55,23%,291,10%,14%
MPI,5207,3%,2,2,3,22,12,37,37,37000,0,0,0,0,0,0,193,13510,0,0,0,0,75%,15257,121,0%,359,2%,2929,10%,14%
MTI,655,3%,2,2,3,6,1,10,145,145000,0,0,0,0,0,0,10,700,-2,-5,0,0,50%,211,128,60%,45,21%,322,10%,14%
NMR,1219,2%,2,2,1,3,0,4,0,0,0,0,0,0,15,2,-8,-560,0,0,0,0,0%,125,1,1%,84,67%,102,10%,14%
NRP,4472,2%,8,8,4,10,2,16,4,4000,0,0,0,0,0,0,1,70,0,0,0,0,0%,4040,5,0%,308,7%,903,10%,14%
PCS,1794,2%,3,3,2,7,1,10,0,0,0,0,0,0,44,6,-14,-980,0,0,9,6030,0%,323,13,4%,123,38%,180,10%,14%
REP,2289,2%,6,6,4,4,0,8,0,0,0,0,0,0,16,2,4,280,22,55,9,6030,0%,575,14,2%,158,27%,251,10%,14%
SEK,5795,3%,11,11,4,5,4,13,0,0,0,0,0,0,0,0,6,420,0,0,10,6700,75%,5026,9,0%,399,7%,867,10%,14%
SMK,2311,5%,3,3,4,4,0,8,0,0,0,0,0,0,0,0,-8,-560,29,72,0,0,0%,501,5,1%,159,31%,216,10%,14%
SRA,15119,9%,19,19,20,26,4,50,8,8000,0,0,0,0,0,0,46,3220,-8,-20,0,0,25%,12829,33,0%,1043,8%,848,10%,14%
SSD,11237,5%,9,9,11,26,0,37,0,0,4,2,0,0,52,7,94,6580,89,222,17,11390,50%,10035,179,1%,775,7%,893,10%,14%
UFS,16911,2%,25,25,9,25,10,44,2,2000,0,0,0,0,0,0,30,2100,-2,-5,0,0,-5%,13078,13,0%,1167,8%,773,10%,14%
WIE,488,4%,3,3,1,3,0,4,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,35,-0,-1%,33,94%,73,10%,14%
BAR,77078,4%,22,22,8,64,17,89,141,141000,0,0,33,330,32,4,87,6090,301,752,648,434160,25%,30383,6130,20%,5319,17%,394,10%,14%
FFN,22842,2%,14,14,8,18,4,30,155,155000,0,0,32,320,0,0,105,7350,0,0,0,0,0%,9659,429,4%,1576,16%,422,10%,14%
LLA,11252,2%,7,7,8,17,13,38,122,122000,18,9,0,0,0,0,9,630,-2,-5,9,6030,0%,12568,314,2%,776,6%,1116,10%,14%
DRC,212736,3%,40,41,24,25,12,61,0,0,10,5,55,550,236,35,135,9450,57,142,43,28810,25%,30923,425,1%,14681,47%,145,10%,14%
DVE,6305,2%,9,9,7,7,0,14,0,0,0,0,0,0,0,0,10,700,0,0,9,6030,0%,4137,7,0%,435,10%,656,10%,14%
EPC,19291,4%,20,20,0,5,4,9,0,0,15,7,31,310,0,0,19,1330,-4,-10,0,0,25%,6011,2,0%,1331,22%,311,10%,14%
EPY,55814,2%,39,39,18,30,29,77,16,16000,73,36,292,2920,0,0,23,1610,124,310,261,174870,0%,28094,1108,3%,3851,13%,503,10%,14%
FDL,4462,3%,3,2,5,1,0,6,0,0,0,0,0,0,31,4,23,1610,-2,-5,8,5360,0%,826,4,0%,307,37%,180,10%,14%
FGJ,5425,7%,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,374,0,0%,374,100%,69,10%,14%
LPR,20948,3%,14,14,9,1,0,10,0,0,0,0,0,0,0,0,29,2030,-4,-10,17,11390,0%,3221,4,0%,1445,44%,153,10%,14%
NRS,5682,2%,6,6,3,6,2,11,0,0,0,0,0,0,0,0,-12,-840,23,57,0,0,0%,3319,4,0%,392,11%,584,10%,14%
NWE,6672,3%,6,6,2,6,2,10,0,0,0,0,0,0,0,0,-14,-980,0,0,7,4690,0%,3592,4,0%,460,12%,538,10%,14%
RDN,4212,2%,7,7,5,13,2,20,0,0,0,0,0,0,0,0,-1,-70,258,645,9,6030,0%,4575,133,2%,290,6%,1086,10%,14%
ROM,9863,2%,7,7,7,16,8,31,0,0,0,0,0,0,0,0,34,2380,111,277,15,10050,0%,9046,92,1%,680,7%,917,10%,14%
WYK,5574,6%,5,5,3,4,2,9,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,2761,3,0%,384,13%,495,10%,14%
D01,22,4%,2,2,2,0,0,2,0,0,0,0,0,0,0,0,-4,-280,0,0,7,4690,0%,4,2,54%,1,37%,185,10%,14%
