Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Avg_Infra_per_State,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
AUC,5987,2%,15,15,1,0,24,8,15,47,0,24,42000,24,12,0,0,0,0,155,10850,0,0,11,7370,0%,4229,46,1%,250,5%,706,25%,33%
AUF,1680,2%,5,5,1,0,1,6,3,10,0,0,0,41,20,0,0,0,0,-20,-1400,0,0,113,75710,0%,560,54,9%,80,14%,333,25%,33%
BTR,22281,2%,25,25,0,0,26,9,5,40,0,32,54400,0,0,0,0,54,8,55,3850,0,0,78,52260,0%,3354,106,3%,906,27%,150,25%,33%
CUL,127,4%,1,1,1,0,6,4,0,10,0,0,0,0,0,0,0,0,0,-8,-560,0,0,9,6030,0%,3,2,72%,0,11%,28,25%,33%
ETV,428,5%,1,1,1,0,3,6,2,11,0,79,134300,0,0,0,0,0,0,-12,-840,0,0,0,0,0%,170,82,48%,28,16%,398,25%,33%
FLU,355,5%,2,2,0,0,7,3,0,10,0,0,0,0,0,0,0,0,0,-6,-420,0,0,8,5360,0%,18,2,11%,12,68%,53,25%,33%
FRO,616,3%,3,3,0,0,10,4,0,14,0,0,0,0,0,0,0,0,0,-8,-560,0,0,8,5360,0%,44,2,5%,29,65%,72,25%,33%
JIN,720,3%,1,1,0,0,9,6,0,15,0,0,0,0,0,0,0,11,1,9,630,0,0,11,7370,0%,92,6,6%,47,51%,128,25%,33%
KHM,8336,4%,13,13,0,0,5,12,2,19,0,0,0,0,0,0,0,0,0,25,1750,0,0,75,50250,0%,2156,80,3%,357,16%,258,25%,33%
KKV,633,4%,1,1,1,0,3,4,2,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,8,5360,0%,121,2,2%,37,30%,191,25%,33%
KSA,5880,5%,10,10,0,1,10,11,10,31,0,94,173900,21,10,48,480,0,0,52,3640,0,0,11,7370,25%,2890,199,6%,289,10%,491,25%,33%
LNV,430,4%,1,1,0,0,3,4,2,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,8,5360,0%,78,2,3%,25,32%,183,25%,33%
LOC,127,3%,1,1,0,0,4,5,0,9,0,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,6,-0,-5%,6,99%,53,25%,33%
MES,1027,5%,1,1,1,0,4,5,2,11,0,0,0,0,0,0,0,0,0,-10,-700,0,0,78,52260,0%,267,30,11%,65,24%,260,25%,33%
MJU,101893,6%,54,54,0,0,84,93,31,208,0,202,414100,212,106,46,460,144,21,838,58660,11,27,249,166830,50%,30930,4991,16%,3251,10%,468,25%,33%
MNG,3657,4%,7,7,0,0,10,5,3,18,0,11,11000,0,0,0,0,0,0,35,2450,0,0,11,7370,0%,774,11,1%,102,13%,211,25%,33%
MRV,195,2%,1,1,1,0,3,6,2,11,0,0,0,0,0,0,0,0,0,-12,-840,0,0,8,5360,0%,38,2,6%,12,33%,199,25%,33%
OOD,9291,4%,1,1,0,0,3,4,2,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,8,5360,0%,1637,3,0%,410,25%,176,25%,33%
PER,307,5%,1,1,1,0,7,4,0,11,0,0,0,0,0,0,0,0,0,6,420,0,0,11,7370,0%,27,3,13%,18,67%,87,25%,33%
QDT,2979,5%,15,15,0,0,14,11,10,35,0,65,110500,9,4,0,0,0,0,114,7980,0,0,0,0,0%,2010,118,5%,102,5%,674,25%,33%
QUE,3987,3%,12,12,0,0,5,13,5,23,0,0,0,0,0,0,0,0,0,-30,-2100,0,0,8,5360,0%,1386,3,0%,178,12%,347,25%,33%
RIV,888,2%,2,2,1,0,3,6,4,13,0,86,159100,0,0,102,1020,0,0,-12,-840,0,0,11,7370,0%,387,105,27%,52,13%,435,25%,33%
RJV,250,4%,1,1,1,0,3,5,2,10,0,0,0,0,0,0,0,0,0,-10,-700,0,0,8,5360,0%,48,2,5%,15,33%,191,25%,33%
RNV,431,4%,1,1,0,0,3,4,2,9,0,42,77700,0,0,0,0,0,0,-8,-560,0,0,11,7370,0%,127,42,33%,25,19%,294,25%,33%
SDP,33728,6%,7,7,1,0,38,9,20,67,0,78,120900,81,40,35,350,0,0,158,11060,0,0,81,54270,0%,10144,186,1%,928,9%,300,25%,33%
SKE,912,6%,2,2,0,0,5,6,2,13,0,0,0,0,0,0,0,0,0,-12,-840,0,0,0,0,0%,179,-0,-0%,54,30%,197,25%,33%
SMP,24495,4%,5,5,1,0,23,6,0,29,0,0,0,0,0,0,0,171,25,45,3150,0,0,101,67670,0%,5070,158,3%,926,18%,207,25%,33%
SPP,34595,3%,7,7,1,0,7,14,15,36,0,82,139400,0,0,0,0,0,0,81,5670,0,0,0,0,0%,12279,538,4%,578,4%,354,25%,33%
SRV,422,5%,1,1,1,0,4,9,6,19,0,55,101750,0,0,0,0,0,0,-18,-1260,0,0,0,0,0%,252,81,32%,13,5%,598,25%,33%
TNV,323,4%,1,1,1,0,8,5,2,15,0,0,0,0,0,0,0,0,0,9,630,-2,-5,12,8040,0%,62,4,7%,19,30%,192,25%,33%
UMB,2330,6%,4,4,0,0,6,7,10,23,0,0,0,0,0,0,0,0,0,23,1610,0,0,0,0,0%,1449,1,0%,116,8%,622,25%,33%
USV,129,2%,1,1,0,0,3,4,2,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,8,5360,0%,20,2,11%,4,24%,158,25%,33%
WEA,262,6%,1,1,0,0,4,7,2,13,0,0,0,0,0,0,0,0,0,-14,-980,0,0,0,0,0%,47,-0,-1%,17,36%,180,25%,33%
AVE,157,2%,2,2,1,0,7,7,0,14,0,0,0,0,0,0,0,0,0,34,2380,0,0,41,27470,0%,26,19,72%,4,15%,171,25%,33%
ANA,709,2%,2,2,0,0,1,15,0,16,0,0,0,0,0,0,0,0,0,-40,-2800,0,0,0,0,0%,37,-3,-8%,31,82%,53,25%,33%
BIU,857,5%,3,3,1,0,9,5,4,18,0,0,0,0,0,0,0,0,0,70,4900,0,0,44,29480,0%,242,19,7%,45,18%,282,25%,33%
CNO,6008,3%,1,1,0,0,5,7,0,12,0,0,0,0,0,0,0,0,0,-14,-980,0,0,29,19430,0%,1592,23,1%,287,18%,265,25%,33%
CPV,43348,8%,35,35,1,1,45,39,8,92,0,168,310800,26,13,29,290,399,59,210,14700,217,542,142,95140,20%,9489,849,8%,1875,19%,317,25%,33%
DOC,11660,4%,15,15,0,0,10,12,2,24,0,1,1100,0,0,0,0,65,9,9,630,102,255,31,20770,-5%,2103,71,3%,584,27%,211,25%,33%
ETF,9752,2%,12,12,0,0,6,5,0,11,0,5,5000,4,2,0,0,12,1,15,1050,16,40,8,5360,50%,1424,12,0%,499,35%,146,25%,33%
KGK,8798,3%,10,10,1,0,8,13,2,23,0,0,0,0,0,0,0,0,0,-7,-490,358,895,0,0,0%,2156,131,6%,455,21%,307,25%,33%
LEE,2704,4%,6,6,0,0,5,6,2,13,0,0,0,0,0,0,0,0,0,-12,-840,0,0,8,5360,0%,505,2,0%,108,21%,186,25%,33%
LRO,473,5%,4,4,1,0,7,2,0,9,0,0,0,0,0,0,0,0,0,-6,-420,0,0,8,5360,0%,32,1,5%,20,62%,68,25%,33%
MRC,42124,6%,25,25,0,0,132,177,45,354,0,166,249000,336,168,125,1250,133,19,884,61880,296,740,235,157450,75%,41140,10289,25%,1214,2%,976,25%,33%
NEP,13067,1%,7,7,1,0,18,21,0,39,0,6,3300,0,0,0,0,0,0,21,1470,0,0,10,6700,50%,3199,28,0%,663,20%,244,25%,33%
NMR,1391,5%,2,2,1,0,2,2,0,4,0,0,0,0,0,0,0,19,2,-8,-560,0,0,11,7370,0%,131,3,2%,67,51%,94,25%,33%
NPP,8738,4%,18,18,0,0,7,10,5,22,0,42,46200,0,0,32,320,0,0,6,420,-2,-5,7,4690,0%,1542,52,3%,436,28%,176,25%,33%
NRP,5100,3%,9,9,0,0,2,1,0,3,0,4,4000,0,0,0,0,0,0,5,350,0,0,0,0,25%,1070,1,0%,223,20%,209,25%,33%
PCS,1419,4%,2,2,0,0,5,4,0,9,0,0,0,0,0,0,0,43,6,-8,-560,0,0,11,7370,0%,184,7,4%,79,43%,129,25%,33%
REP,2712,2%,6,6,1,0,5,8,0,13,0,0,0,0,0,0,0,22,3,12,840,32,80,11,7370,0%,618,18,3%,127,20%,228,25%,33%
SEK,382,7%,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-2,-140,0,0,9,6030,0%,18,1,10%,15,81%,49,25%,33%
SFG,20595,7%,31,31,0,0,36,34,12,82,0,19,33250,0,0,0,0,0,0,24,1680,-6,-15,0,0,0%,7044,106,1%,907,12%,380,25%,33%
UFS,19756,6%,26,26,0,0,10,27,15,52,0,2,2600,0,0,0,0,0,0,66,4620,0,0,11,7370,0%,6531,46,0%,623,9%,330,25%,33%
WIE,563,4%,3,3,0,0,5,2,0,7,0,0,0,0,0,0,0,0,0,-6,-420,0,0,0,0,0%,40,-0,-0%,27,68%,72,25%,33%
BAR,89845,4%,22,22,0,0,53,67,15,135,0,169,329550,317,158,36,360,40,6,2085,145950,272,680,1716,1149720,45%,28592,10294,36%,4090,14%,318,25%,33%
FFN,26688,2%,14,14,1,0,8,20,15,43,0,190,323000,0,0,40,400,0,0,258,18060,-10,-25,0,0,0%,7674,918,11%,1079,14%,287,25%,33%
LLA,13163,4%,7,7,0,0,25,17,11,53,0,170,314500,36,18,0,0,0,0,63,4410,0,0,0,0,0%,9139,725,7%,289,3%,694,25%,33%
DRC,92170,4%,44,24,0,0,14,15,5,34,0,0,0,9,4,61,610,266,39,97,6790,-4,-10,102,68340,25%,11648,351,3%,7067,60%,47,25%,33%
DVE,7335,3%,9,9,0,0,10,5,0,15,0,0,0,0,0,0,0,0,0,44,3080,-2,-5,0,0,0%,2230,1,0%,233,10%,304,25%,33%
EPC,189293,6%,23,43,1,1,3,11,13,27,0,0,0,14,7,54,540,33,4,93,6510,63,157,0,0,0%,3661,27,0%,985,26%,104,25%,33%
EPY,61827,6%,39,39,0,1,31,71,36,138,0,23,42550,119,59,506,5060,0,0,720,50400,152,380,555,371850,25%,20912,4295,20%,2307,11%,338,25%,33%
FDL,7584,4%,7,7,0,0,7,1,3,11,0,0,0,0,0,16,160,34,5,22,1540,-2,-5,9,6030,0%,1033,4,0%,234,22%,174,25%,33%
GHN,4910,4%,3,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4690,0%,368,1,0%,231,62%,75,25%,33%
NRS,6484,4%,6,6,1,0,7,4,2,13,0,0,0,0,0,0,0,0,0,-8,-560,41,102,11,7370,0%,1610,10,0%,381,23%,248,25%,33%
NWE,7571,4%,6,6,0,0,2,8,3,13,0,0,0,0,0,0,0,0,0,-16,-1120,0,0,8,5360,0%,1566,4,0%,446,28%,206,25%,33%
RDN,4757,4%,7,7,1,1,14,18,2,34,0,0,0,0,0,0,0,0,0,12,840,292,730,0,0,0%,1587,115,7%,193,12%,333,25%,33%
ROM,13944,7%,15,15,0,0,1,101,12,114,0,17,27200,0,0,0,0,0,0,-270,-18900,0,0,11,7370,0%,4678,120,2%,646,13%,335,25%,33%
RPT,2469,5%,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4690,25%,101,1,1%,100,98%,41,25%,33%
WYK,6366,4%,5,5,0,0,4,5,10,19,0,0,0,0,0,0,0,0,0,-10,-700,0,0,8,5360,0%,2737,3,0%,375,13%,429,25%,33%
D02,188393,2%,82,82,1,0,22,45,12,79,0,48,67200,49,24,13,130,171,25,84,5880,73,182,15,10050,50%,35276,3283,9%,5861,16%,187,25%,33%
